SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList,parameters,Use
100437,4,0.99999875,9.20E-07,0.001057138,0.000497121,0.000311233,3.21E-05,0.009951648,0.000693514,0.803749528,0.011364278,0.451272415,0.003514131,0.325771023,0.012068855,12.52061817,1.021822861,"Temperature[K],getawayHATSIP2_3,getawayREn1_7,k3_2",pureQuadratic_exponential,TRUE
88339,4,0.980578062,0.005117559,0.141327873,0.017766807,0.08827674,0.012445455,2.620706009,0.324281395,0.803735093,0.021426536,0.450704609,0.008218892,0.323648176,0.016630157,12.67338214,0.631148078,"Temperature[K],Ipc,VSA_EState8,getawayHATSIP2_3",pureQuadratic_rationalquadratic,TRUE
97583,4,0.999999748,6.00E-08,0.0005094,6.04E-05,0.000244427,2.37E-05,0.008050485,0.00100258,0.803593544,0.063409425,0.446603878,0.055323165,0.297513889,0.038836933,11.79715035,0.587361178,"Temperature[K],MolWt,getawayHTc_1,rho_1",none_exponential,TRUE
97812,4,0.928493114,0.010167925,0.272331246,0.017658539,0.187777924,0.013406753,6.205861734,0.30770778,0.803499487,0.039190668,0.450004739,0.0444097,0.325848625,0.022408393,13.96831133,2.415502728,"Temperature[K],PBFscore_1,fr_Al_COO,getawayHATSIP2_3",none_exponential,TRUE
98491,4,0.999996363,4.77E-06,0.001608922,0.001311318,0.000686644,0.000696942,0.022102983,0.022273736,0.803268538,0.025888886,0.451828724,0.038267441,0.314569875,0.008101466,12.81233055,2.24498488,"Temperature[K],PNSA3_1,getawayHATSIP2_3,getawayHV1_2",none_exponential,TRUE
91451,4,0.986462727,0.000413142,0.118730703,0.003698265,0.072050299,0.002762988,2.218793765,0.10779759,0.80326747,0.013369194,0.452425154,0.030798861,0.323353269,0.006970649,12.82512017,2.334563738,"Temperature[K],MATSc25_1,PNSA3_1,getawayHATSIP2_3",linear_exponential,TRUE
92769,4,0.994458224,0.004839097,0.068527434,0.042088088,0.042300692,0.026897475,1.278737104,0.845190555,0.803063976,0.019084155,0.452190058,0.029014721,0.334609364,0.017836792,13.13884497,2.845308894,"Temperature[K],MATSm16_6,PBFscore_1,getawayHATSIP2_3",constant_exponential,TRUE
87295,4,0.99265949,0.003512974,0.085424767,0.023730954,0.047019005,0.015662755,1.418975352,0.463678037,0.803032646,0.011505795,0.452095386,0.004745687,0.331970167,0.010308457,12.80273221,1.830505443,"Temperature[K],FPSA3_1,PBFscore_1,getawayHATSIP2_3",pureQuadratic_rationalquadratic,TRUE
100372,4,0.902499947,0.013683528,0.317962982,0.019496761,0.229529072,0.010556637,7.257610005,0.285724107,0.802864602,0.027123921,0.451626399,0.028590086,0.334109767,0.013419239,13.64458055,2.010827342,"Temperature[K],getawayHATSIP2_3,getawayHATSV8_2,rho_2",pureQuadratic_matern32,TRUE
91661,4,0.858255287,0.01919359,0.383255221,0.020165377,0.287799026,0.017750103,9.25925284,0.427954234,0.802655434,0.031275382,0.451289289,0.022029974,0.339988202,0.011362453,13.42419896,1.510056103,"Temperature[K],MATSc25_1,getawayHATSIP2_3,rho_2",linear_matern32,TRUE
98768,4,0.99959279,0.000691976,0.01324346,0.019094823,0.007259756,0.010655053,0.218439998,0.322461891,0.802318457,0.042347457,0.450579567,0.03053976,0.324397012,0.022476484,12.29874205,0.239245258,"Temperature[K],RDFc14_6,getawayHATSIP2_3,getawayHV3_3",constant_exponential,TRUE
88021,4,0.903795173,0.004519579,0.316350614,0.002239965,0.224845048,0.002074764,6.737636133,0.097204049,0.802206763,0.027426163,0.452037156,0.015982951,0.331959755,0.0115779,11.91028074,1.651023726,"Temperature[K],Ipc,MoRSEm7_7,getawayHATSIP2_3",constant_matern32,TRUE
90771,4,0.973565267,0.012636293,0.161979383,0.039694507,0.092279244,0.020334472,2.744296066,0.596985095,0.80207036,0.024987447,0.453113425,0.035286814,0.309240021,0.01560223,12.10177503,2.478855977,"Temperature[K],MATSP15_4,RDFc17_4,rho_1",constant_exponential,TRUE
91615,4,0.886052033,0.021022812,0.343077227,0.02664964,0.252266939,0.022677656,7.882186315,0.611108577,0.802038418,0.043561018,0.450714675,0.034548726,0.341292271,0.027345013,12.90344523,0.909572835,"Temperature[K],MATSc25_1,fr_bicyclic,getawayHATSIP2_3",pureQuadratic_exponential,TRUE
90920,4,0.892027345,0.019489157,0.333996866,0.026077629,0.244927063,0.018213376,7.627481682,0.546675746,0.801896352,0.037767878,0.451540592,0.025931858,0.334021803,0.016673452,12.84658472,0.350140964,"Temperature[K],MATSP15_4,getawayHATSIP2_3,rho_2",none_rationalquadratic,TRUE
100387,4,0.989003123,0.006039524,0.104062706,0.033543364,0.057231862,0.021536175,1.755387035,0.742732777,0.801886929,0.047635963,0.450636549,0.04326425,0.326092462,0.031657244,11.84935971,0.117411529,"Temperature[K],getawayHATSIP2_3,getawayHATSm8_1,getawayHV3_3",linear_rationalquadratic,TRUE
97867,4,0.942352985,0.003612465,0.244838448,0.004717858,0.167393019,0.003061328,5.080145772,0.110872274,0.801841804,0.043229129,0.451041546,0.031415231,0.333306857,0.027790426,12.4380651,1.082718389,"Temperature[K],PBFscore_1,getawayHATSIP2_3,getawayHV3_3",none_matern32,TRUE
99831,4,0.864276165,0.014856087,0.375306017,0.014565061,0.283192516,0.011884379,9.254960309,0.323602032,0.80178989,0.028650499,0.452521653,0.020652838,0.335541072,0.008925817,13.04050104,0.669238365,"Temperature[K],c_3,getawayHATSIP2_3,rho_2",constant_squaredexponential,TRUE
99260,4,0.878515178,0.011809724,0.355179733,0.012168479,0.263409062,0.012029094,8.39798614,0.147568129,0.801788865,0.023209852,0.4528385,0.012351106,0.330632293,0.01297992,13.02632955,1.653354548,"Temperature[K],RDFc5_1,getawayHATSIP2_3,rho_2",constant_squaredexponential,TRUE
72210,4,0.987664395,0.003720119,0.112458971,0.018921426,0.058816921,0.01131864,1.812359992,0.366160029,0.801783315,0.005488805,0.453940578,0.017642905,0.305314942,0.022304856,12.63561891,1.218006862,"EState_VSA6,Temperature[K],PNSA3_1,getawayHATSIP2_3",pureQuadratic_rationalquadratic,TRUE
98337,4,0.995508446,0.001356789,0.067936641,0.011401265,0.036413358,0.007105954,1.112990963,0.222288029,0.801724561,0.016928929,0.454114944,0.033327455,0.307117072,0.017973725,12.12715653,2.756247118,"Temperature[K],PNSA3_1,RDFc17_4,getawayHATSIP2_3",constant_exponential,TRUE
72374,4,0.911435542,0.014436313,0.302761114,0.02009583,0.210539148,0.021362134,6.934339123,0.93233622,0.801582658,0.044395038,0.451152673,0.035337568,0.329183004,0.042519949,12.77174403,1.348162722,"EState_VSA6,Temperature[K],fr_bicyclic,getawayHATSIP2_3",pureQuadratic_exponential,TRUE
