SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList,parameters,Use
6529,3,0.999104609,0.000350558,0.030227537,0.00631879,0.016696547,0.004271966,0.527980299,0.152629232,0.843629935,0.033150427,0.401413657,0.044746419,0.266321733,0.022804659,12.51584196,2.087719422,"Temperature[K],getawayHATSIP2_3,rho_1",none_ardexponential,FALSE
3605,3,0.993016237,0.002206861,0.084574894,0.014062246,0.05327798,0.009890241,1.59756571,0.328934635,0.843101423,0.007200679,0.403617407,0.007608588,0.294184953,0.006929229,11.70998901,1.801547396,"BertzCT,Temperature[K],getawayHATSIP2_3",none_exponential,TRUE
3605,3,0.992077947,0.004258383,0.088414079,0.026222049,0.056331806,0.018266292,1.68552183,0.574478302,0.84276163,0.007251872,0.404030536,0.00524102,0.293776031,0.007535963,11.74443957,1.597394097,"BertzCT,Temperature[K],getawayHATSIP2_3",pureQuadratic_exponential,FALSE
6529,3,0.979995696,0.004391317,0.143816632,0.018056246,0.09137226,0.012881117,2.863374404,0.477587005,0.841763687,0.030887343,0.404359412,0.044372618,0.27268159,0.023338603,12.37224394,2.214110062,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_ardsquaredexponential,FALSE
3605,3,0.995598213,0.000553179,0.067628913,0.004899441,0.041643919,0.003574911,1.237305647,0.130660862,0.841135083,0.007426748,0.406141389,0.008324177,0.296101241,0.00691936,11.75959692,1.818913742,"BertzCT,Temperature[K],getawayHATSIP2_3",constant_exponential,FALSE
3605,3,0.995544791,0.000751813,0.067983326,0.006724019,0.04196383,0.004875645,1.249324805,0.171234674,0.840680226,0.00657785,0.406771855,0.009468401,0.296527451,0.005262367,11.69254659,1.751802823,"BertzCT,Temperature[K],getawayHATSIP2_3",linear_exponential,FALSE
6529,3,0.987834473,0.000267629,0.112535989,0.00175258,0.067890559,0.003266054,2.108622712,0.137925382,0.840374826,0.039401497,0.405628077,0.056470507,0.267892242,0.0238474,12.47635276,2.545411415,"Temperature[K],getawayHATSIP2_3,rho_1",linear_ardmatern32,FALSE
3605,3,0.98388604,0.002712707,0.129343095,0.012877106,0.080535641,0.010796759,2.422753946,0.374833461,0.839855415,0.008831182,0.407847217,0.015243445,0.296065295,0.006240854,11.65493621,2.255952738,"BertzCT,Temperature[K],getawayHATSIP2_3",linear_rationalquadratic,FALSE
3605,3,0.990752532,0.003873606,0.096967916,0.021660184,0.058081279,0.016332793,1.724612076,0.515224112,0.83911412,0.009653701,0.408688001,0.012641947,0.296205239,0.008270742,11.64760984,1.983085306,"BertzCT,Temperature[K],getawayHATSIP2_3",pureQuadratic_rationalquadratic,FALSE
6529,3,0.983844153,0.002209976,0.129446225,0.007767011,0.080184509,0.00327773,2.510121113,0.141318989,0.838707437,0.040898143,0.407665339,0.058248182,0.269757551,0.024043102,12.43097831,2.781064913,"Temperature[K],getawayHATSIP2_3,rho_1",linear_ardmatern52,FALSE
6529,3,0.972986755,0.003750085,0.167539611,0.014255685,0.113932195,0.011578111,3.506646284,0.435011732,0.836540245,0.051308076,0.409195964,0.070699485,0.261650883,0.028970476,12.46469265,2.154358093,"Temperature[K],getawayHATSIP2_3,rho_1",constant_matern32,FALSE
3605,3,0.955145623,0.003396279,0.215950392,0.00647227,0.148659712,0.004231581,4.45271852,0.173166925,0.833588295,0.017747595,0.415091661,0.010489309,0.302180533,0.01431351,12.02348455,1.074059377,"BertzCT,Temperature[K],getawayHATSIP2_3",none_matern32,FALSE
6529,3,0.987200105,0.001995606,0.115160724,0.007955202,0.069114982,0.003738097,2.149414471,0.136628829,0.832882912,0.043384051,0.414718218,0.059956151,0.273471559,0.025906122,12.91241612,2.897457792,"Temperature[K],getawayHATSIP2_3,rho_1",constant_ardrationalquadratic,FALSE
6529,3,0.984864675,0.004352472,0.124363297,0.016965266,0.076590116,0.012130233,2.381242893,0.316722243,0.832358575,0.047017645,0.414999472,0.06444353,0.272881829,0.027358926,12.7224096,2.703408479,"Temperature[K],getawayHATSIP2_3,rho_1",none_ardrationalquadratic,FALSE
6529,3,0.975878901,0.001059152,0.158480756,0.005804109,0.102711775,0.005861875,3.276368547,0.264440851,0.832130442,0.038665277,0.416522797,0.056292874,0.274380847,0.020365392,12.80678104,2.853432298,"Temperature[K],getawayHATSIP2_3,rho_1",linear_ardsquaredexponential,FALSE
3605,3,0.973458729,0.002130711,0.166174169,0.008110038,0.108232877,0.007704305,3.244678202,0.3050167,0.831668235,0.004224301,0.418305163,0.01518773,0.298863321,0.006166959,11.9857887,2.813007324,"BertzCT,Temperature[K],getawayHATSIP2_3",pureQuadratic_matern32,FALSE
3605,3,0.958752093,0.002708463,0.207140656,0.006597662,0.141091452,0.004850613,4.242161361,0.230654315,0.829729221,0.008632444,0.420686266,0.01964343,0.303938975,0.007925589,12.35201239,2.263957062,"BertzCT,Temperature[K],getawayHATSIP2_3",constant_matern32,FALSE
6529,3,0.968302465,0.003981139,0.181493225,0.013482174,0.124787477,0.010578968,3.848051872,0.391091863,0.827224069,0.069679922,0.41924016,0.091886282,0.266344828,0.034632997,12.89001288,3.266329343,"Temperature[K],getawayHATSIP2_3,rho_1",constant_matern52,FALSE
6529,3,0.973320187,0.005041347,0.166203494,0.01632249,0.112914516,0.012442858,3.445833177,0.382686802,0.825439684,0.062932021,0.421567247,0.082990955,0.267200149,0.033316261,12.2959439,1.788879965,"Temperature[K],getawayHATSIP2_3,rho_1",none_matern32,FALSE
6525,3,0.975682514,0.003479411,0.158874593,0.012676578,0.110089296,0.00817353,3.380706509,0.300275067,0.824398237,0.025133915,0.426559097,0.03547941,0.307963897,0.022059771,12.52253045,2.038443681,"Temperature[K],getawayHATSIP2_3,getawayREn1_7",pureQuadratic_exponential,TRUE
6525,3,0.976056594,0.003723462,0.157609197,0.013790221,0.109049625,0.009036886,3.382132473,0.345651472,0.823089334,0.027363125,0.428240994,0.040598215,0.308963986,0.022923697,12.70936756,2.372119739,"Temperature[K],getawayHATSIP2_3,getawayREn1_7",constant_exponential,FALSE
