SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList,parameters,Use
6529,3,0.981837466,0.002998047,0.137149197,0.010142591,0.089360173,0.006309665,2.726549493,0.187148603,0.863025577,0.023498882,0.376136106,0.032158409,0.253460057,0.017355231,11.43793589,1.518179746,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_rationalquadratic,TRUE
3605,3,0.993016237,0.002206861,0.084574894,0.014062246,0.05327798,0.009890241,1.59756571,0.328934635,0.843101423,0.007200679,0.403617407,0.007608588,0.294184953,0.006929229,11.70998901,1.801547396,"BertzCT,Temperature[K],getawayHATSIP2_3",none_exponential,TRUE
6525,3,0.975682514,0.003479411,0.158874593,0.012676578,0.110089296,0.00817353,3.380706509,0.300275067,0.824398237,0.025133915,0.426559097,0.03547941,0.307963897,0.022059771,12.52253045,2.038443681,"Temperature[K],getawayHATSIP2_3,getawayREn1_7",pureQuadratic_exponential,TRUE
6155,3,0.973105179,0.008116047,0.165799338,0.022680683,0.107962034,0.014452025,3.222530774,0.367539505,0.814315299,0.027634967,0.437939858,0.021561222,0.319035018,0.012862854,11.22885411,1.347476146,"Temperature[K],MoRSEu29_1,getawayHATSIP2_3",linear_exponential,TRUE
6410,3,0.988437741,0.001977434,0.1094055,0.008225417,0.070219492,0.005822875,2.090707287,0.107500709,0.807389671,0.011028749,0.447094933,0.007099863,0.325666542,0.016024301,12.06137333,1.981030434,"Temperature[K],VSA_EState8,getawayHATSIP2_3",pureQuadratic_exponential,TRUE
6242,3,0.997980394,0.001870067,0.0403088,0.025578706,0.016289527,0.011005034,0.577479496,0.379980037,0.802707379,0.031969439,0.451110443,0.019604887,0.313550071,0.019384171,12.46191794,2.19344428,"Temperature[K],MolWt,getawayHATSIP2_3",pureQuadratic_ardexponential,TRUE
6269,3,0.924682122,0.007352277,0.279708056,0.010870549,0.195808968,0.008502315,6.434005565,0.217055893,0.796198957,0.03673441,0.458509422,0.038057608,0.332914337,0.021244477,14.21547186,2.239586809,"Temperature[K],PBFscore_1,getawayHATSIP2_3",constant_exponential,TRUE
5954,3,0.89645888,0.011652055,0.327876778,0.015663341,0.234880266,0.010914853,7.062956605,0.427640113,0.794239312,0.030272734,0.461197963,0.029286168,0.344163623,0.014969704,13.49801387,1.835624058,"Temperature[K],MATSm16_6,getawayHATSIP2_3",none_matern32,TRUE
6521,3,0.862898695,0.017665728,0.377021906,0.018387499,0.283389078,0.016838893,9.174098197,0.727028568,0.793907388,0.045011057,0.459951865,0.032488862,0.343357564,0.021768995,13.51647902,0.833286658,"Temperature[K],getawayHATSIP2_3,getawayHV1_2",none_squaredexponential,TRUE
220,3,0.893773362,0.006832828,0.332334396,0.005536798,0.240031789,0.006498173,7.420357456,0.033836002,0.792456465,0.035202942,0.462779386,0.032767188,0.341121491,0.01819708,13.16837622,1.77984543,"ATSc11_3,Temperature[K],getawayHATSIP2_3",constant_matern32,TRUE
6519,3,0.920557329,0.011041425,0.287104353,0.018980269,0.200008819,0.010472102,6.053543002,0.470821426,0.792276909,0.042187599,0.462222734,0.034354606,0.340270977,0.023510224,12.97897574,1.253471244,"Temperature[K],getawayHATSIP2_3,getawayHATSm8_1",pureQuadratic_exponential,TRUE
6320,3,0.976871923,0.007244123,0.153831674,0.021818746,0.093939919,0.016003674,2.854321983,0.42940682,0.791950417,0.021011198,0.465092648,0.036961669,0.328221244,0.004190071,13.31872145,2.665033796,"Temperature[K],PNSA3_1,getawayHATSIP2_3",linear_rationalquadratic,TRUE
6530,3,0.849191438,0.016004536,0.395636883,0.014678714,0.297626559,0.014779713,9.733439177,0.408024188,0.790434207,0.034422476,0.464927469,0.022322422,0.344468276,0.015015662,14.1423715,0.911219914,"Temperature[K],getawayHATSIP2_3,rho_2",pureQuadratic_matern52,TRUE
6124,3,0.85151342,0.014750926,0.392731259,0.015842834,0.293413815,0.011542469,9.364000045,0.673989614,0.789505313,0.037767549,0.465819376,0.032718121,0.35204236,0.020496783,12.01042263,1.271092702,"Temperature[K],MoRSEu23_7,getawayHATSIP2_3",none_matern52,TRUE
6344,3,0.952835569,0.010599499,0.2203572,0.021733174,0.148794805,0.015257464,4.631547782,0.700471459,0.789299124,0.012991333,0.46759123,0.008050232,0.333246531,0.011154369,13.58599584,1.62422713,"Temperature[K],RDFc14_6,getawayHATSIP2_3",pureQuadratic_exponential,TRUE
6484,3,0.833739573,0.014204266,0.41560168,0.011025193,0.313794722,0.01034325,10.39384926,0.557111567,0.789260692,0.037495388,0.465970838,0.024582348,0.353713909,0.020540956,14.04773055,1.050117109,"Temperature[K],fr_bicyclic,getawayHATSIP2_3",none_ardsquaredexponential,TRUE
5879,3,0.833101838,0.021077198,0.415985537,0.01983204,0.313719575,0.017415309,9.877460914,0.288602126,0.788253231,0.039805091,0.466904124,0.027206478,0.354062551,0.021390395,12.79803419,1.449925517,"Temperature[K],MATSc25_1,getawayHATSIP2_3",none_matern52,TRUE
6185,3,0.837812327,0.01312812,0.410529396,0.01067808,0.307572763,0.008445801,9.610167692,0.068815715,0.78673179,0.035027345,0.46901138,0.022224135,0.35427306,0.016216106,12.17874786,0.216884663,"Temperature[K],MoRSEu4_7,getawayHATSIP2_3",none_squaredexponential,TRUE
5990,3,0.85583569,0.018765514,0.386574593,0.019560696,0.28845405,0.015212281,9.317924207,0.537253499,0.78485086,0.048008903,0.469948812,0.036603615,0.350533281,0.029652426,13.73499556,1.141185678,"Temperature[K],MoRSEV27_3,getawayHATSIP2_3",pureQuadratic_squaredexponential,TRUE
6256,3,0.995144105,0.002291736,0.069717614,0.017681931,0.043134882,0.011397636,1.269346832,0.341619568,0.784789929,0.058080066,0.468987219,0.056192473,0.30958666,0.028200415,12.48156751,0.977153355,"Temperature[K],MolWt,rho_1",pureQuadratic_exponential,TRUE
