step,temp,press,density,pxx,pyy,pzz,pxy,pxz,pyz,pe,ke,etotal,evdwl,ecoul,epair,ebond,eangle,edihed,eimp,emol,etail,enthalpy,vol
0,235.79972028009888163,-614.02782776980097879,0.85748994824797220016,-78.933787550011075496,-1326.4771902731872615,-436.6725054862031925,307.90092332245001217,305.72899680877208084,159.27932045719296639,-2020.3696705551162722,3511.5593832865451986,1491.1897127314289264,-2539.962743506937386,-2943.9266465571276967,-5483.8893900640659922,1132.691215519635989,1524.9372580462522819,775.29300199891645207,30.598243944144023487,3463.5197195089490378,-80.006961465928412736,1034.3768068010422212,51012.243247929283825
1000,233.81826726387816962,800.0483763866938034,0.86415369968526678512,-414.31178075747828871,2431.2776480302391064,383.17926188732076298,532.69807964939252543,239.34874055651405911,340.30264647854960458,-1567.4578961069603338,3482.0513333050348592,1914.5934371980745254,-2555.1208264790002431,-2465.7251908243715661,-5020.8460173033718092,1130.8440777100545347,1559.471610144071974,734.14094934477475363,28.931483997510227368,3453.3881211964117028,-80.628713948918417032,2505.2086154126391193,50618.87235871500161
2000,237.99571601066185167,532.53020491961615335,0.85832518494307763479,3041.0344455169429239,-394.76864395476621894,-1048.6751868033265964,-225.22788066294765486,-1300.0149201303161135,201.62975098860135859,-1988.5739171213585905,3544.2624306190673451,1555.6885134977087546,-2538.1582665153259768,-2871.1834461825123981,-5409.3417126978374654,1149.0357265181864932,1514.544454692784484,725.57812037643429903,31.609493989074266551,3420.7677955764797844,-80.084892117146836199,1951.4848218850077046,50962.603206826286623
3000,237.68811564797104552,350.32115906424678542,0.85707403765489775793,-1022.9991146958240051,89.449089255087514516,1984.5135026334774011,-200.26576482824603431,172.7141540311255028,-254.66278741099361582,-1974.9840337332477702,3539.6816069496153432,1564.697573216367573,-2538.383346084430741,-2868.8913965829469817,-5407.2747426673768132,1101.3452032229411088,1539.1647538356548921,759.1073824370288321,32.673369438505353912,3432.2907089341297251,-79.968155480084064379,1825.449411278524849,51036.997856529211276
4000,230.54446148076749523,-20.53286559688369195,0.85254537961569787363,513.20156737334946229,-956.93362310511986379,382.13345894111876078,272.25102302512954111,360.45336184479549502,59.604045528887361627,-1819.5635479002830834,3433.2974017775331959,1613.7338538772501124,-2534.0648473232440665,-2790.3729835480471593,-5324.4378308712912258,1168.9737851129666524,1577.5785757151020334,729.22820372789897192,29.093718415040441982,3504.8742829710081423,-79.545615052671536205,1598.3696023474610683,51308.102616657975886
5000,238.96557531520198836,303.51018812604121422,0.85628402982859530557,-563.32646781609355457,651.63070978941982503,822.22632240479799748,-975.49734156337137847,-736.28542778966470905,-404.575921966264616,-1956.6448622756104214,3558.7056985639155755,1602.0608362883051541,-2547.8471526628336505,-2873.6793095581792841,-5421.5264622210124799,1133.0793638418904266,1560.5761407468244215,740.79922811632263802,30.426867240364668277,3464.8815999454022858,-79.894444848436535267,1828.1786505567081349,51084.084601502967416
6000,236.97413266109191454,151.82361945620510824,0.86236926981548378546,922.92172959832214474,-39.032248886427638013,-428.41862234327965098,249.92943554727472133,-107.78135083099380154,218.40129174839810844,-1917.8349110645399378,3529.0488816261749889,1611.2139705616350511,-2560.217035162225784,-2820.5546895390107238,-5380.7717247012360531,1133.6698932077465543,1547.535674372014455,751.6542742514470774,30.076971805488621925,3462.93681363669657,-80.462220088410688845,1723.5257783213558014,50723.613831971517357
7000,232.89121814704728308,-396.31725830685388701,0.85696695227940622441,-648.93817228149384846,-75.785360538609467085,-464.22824210045718019,-1064.1137896825118787,738.85907373889097016,-439.88336629387754328,-1833.7883671407641941,3468.2456001128666685,1634.4572329721024744,-2529.310278424804892,-2790.0106862770417138,-5319.3209647018456963,1153.284445391645022,1566.6373226700529813,733.89991448294426846,31.71091501644027133,3485.5325975610821843,-79.958164021259364063,1339.4326129579560529,51043.375367429587641
8000,235.83521267597592441,-1408.4075068291799653,0.85404811782402390019,-2605.7075804777409758,-1547.6404025093559085,-71.87453750044292633,-95.074739441749983371,-830.94319979068484372,1011.8129231530663219,-1775.185102315024551,3512.087940553828048,1736.902838238803497,-2541.7849521521261522,-2725.2303348771147284,-5267.0152870292404259,1142.2002921078171767,1581.1115466864641803,733.93568071709864853,34.582665202836238905,3491.8301847142161023,-79.685826046599316896,684.87958226144723994,51217.823574307047238
9000,238.54934287441776064,924.58883141239380166,0.85600213626964105629,424.14169365557461333,1195.5714417727672298,1154.0533588088389934,156.01000248759231681,890.92584246442572748,571.71639103069844623,-1412.67993900777401,3552.5071121901578408,2139.8271731823838309,-2523.6707295650980996,-2364.0438840039873867,-4887.7146135690854862,1139.8025221152033737,1560.0490540139167024,740.70779891227266489,34.475299519918699787,3475.034674561311931,-79.868143144078572959,2828.8809915310962424,51100.907310003429302
10000,230.82579452361861172,-409.44313001468043467,0.8539416569819759939,-2178.8780067904285715,-694.79346502162559318,1645.3420817680130313,272.03795068060657059,105.48336161335308248,-654.82128142336046039,-1790.6632094140954905,3437.4870491837255031,1646.8238397696300126,-2523.5482053739665389,-2782.1482941033386851,-5305.6964994773061335,1152.1702484215666118,1583.2437000290342439,748.50030747506048101,31.119034137549128616,3515.033290063210643,-79.675892859038611959,1340.9483076734827591,51224.208896513788204
11000,234.47468328553858896,858.80084058579984685,0.85359017411454318758,616.3456414913853223,1064.6791925930226625,895.37768767299178307,475.91554933306849762,380.79759513208540511,1269.4861295843695643,-1823.0130473035376326,3491.8267640708695581,1668.8137167673319254,-2526.7934732700582572,-2731.9445402627206931,-5258.7380135327784956,1154.8233853764420473,1538.3757842759207506,711.80567455527125276,30.720122021606595553,3435.7249662292406356,-79.643098216619677032,2310.6472489697466699,51245.30149149778299
12000,234.49021842780584279,433.61786236840407582,0.85778818353811392416,122.47741102673290925,806.27473958533880705,372.10143649314233016,96.79110977483718159,389.6271960189134802,494.48325694625214055,-1751.0350034208402121,3492.0581153826287846,1741.0231119617885724,-2523.7729343390901704,-2691.8066651560302489,-5215.5795994951204193,1121.5391383354303798,1569.3889559105300577,739.9614838248369324,33.65501800348199879,3464.5445960742790703,-80.034787913824274597,2063.505836199278292,50994.507341259326495
13000,231.67171160366908111,381.00452275924567402,0.85455950814753522948,-154.78421447464418748,894.47262552436495753,403.32515722801645097,-114.40226372715646619,-212.92077369494700179,306.90745315681090233,-1754.3448397839358677,3450.0845537795962628,1695.7397139956603951,-2539.5242327537662277,-2650.8482270401796086,-5190.372459793946291,1136.6623923404758898,1530.2597974079992582,735.45425676627451139,33.6511734952608208,3436.0276200100097412,-79.733540641960829021,1980.1643228565155823,51187.173515279573621
14000,236.69849917132941641,313.4842143229911926,0.85266305203309533667,46.741657588047928584,-550.60588651197394938,1444.3168718929020997,-13.781346703611159654,39.480810277279040577,-446.09243236297680824,-2069.8677900071356817,3524.9441126884776168,1455.0763226813419351,-2517.3155597785703321,-3007.5833069278810399,-5524.8988667064504625,1152.3518804174825618,1544.5437467161061704,727.2897356350431437,30.845713930683473336,3455.0310766993152356,-79.556594321388985236,1689.616679400630801,51301.021802668692544
15000,234.45614790194457555,1322.6996976267218997,0.85053746282986175675,1162.5704749204760446,985.22536613024817598,1820.3032518294410238,155.88848093973666664,518.14438623008550167,649.09196136350192319,-2031.7039480332450694,3491.5507327842124141,1459.8467847509673447,-2528.2730355405274167,-2963.8110418220330757,-5492.0840773625604925,1170.1136287138465377,1513.2241526579045967,744.28031034200012073,32.762037615564324256,3460.3801293293158778,-79.358269042097987267,2451.9278391416687555,51429.2288515337641
16000,233.04603744626678008,-734.01865551014554967,0.85203119034948715527,-1294.8794190074454491,-1450.6391712162380827,543.46262369324745123,-788.98578827973335592,664.13793076777676561,699.20961823655386524,-2024.2125447593791705,3470.551188780411394,1446.3386440210322235,-2511.6179161022305379,-3061.6529839329114111,-5573.2709000351424038,1202.112262044557383,1553.6523356796924418,759.77969681488127662,33.514060736631691384,3549.0583552757625512,-79.49763930567652892,896.75860100594127289,51339.066360631128191
17000,229.95021515761237652,-984.06663267672593065,0.85557921733241271145,-2739.7035225744575655,-1145.9313998178031397,933.43502436208223116,-328.64707836318711998,-128.26780170872081044,-936.53799747329264846,-2072.3504697578746345,3424.4478100580004138,1352.0973403001257793,-2537.375121555325677,-2949.1099951299315762,-5486.4851166852567985,1101.7385477072398317,1518.3985676832776335,763.37271235751677523,30.624819179348079956,3414.134646927382164,-79.828683253985190049,618.35491883257770951,51126.166854617353238
18000,234.07279726378328633,1039.6682134709449201,0.84848549835220865578,401.30171971099201755,429.58935117696040606,2288.1135695248844968,-278.95740305955820304,122.14293436835910711,-47.606634281054063251,-1914.5338093184925583,3485.8418263914263662,1571.3080170729338079,-2512.0457450271173911,-2834.2667547029618618,-5346.3124997300801624,1133.7597614099743168,1529.8681052399388136,740.57223352439189057,27.578590237281069619,3431.7786904115860125,-79.166813220104415905,2352.9892606731800697,51553.604519616936159
19000,236.75795326951703146,-1181.0011053403818551,0.85380932043728774428,-910.52620574735715309,-623.90836212684178008,-2008.5687481469481099,1031.5341795264819211,737.81226780427130052,-745.96046631687102035,-1901.9737369110578129,3525.829510669940646,1623.8557737588828331,-2517.7621740774520731,-2891.1791541760285327,-5408.9413282534806058,1187.36543856329763,1559.0198522473110643,730.27423167562665185,30.308068856187546203,3506.9675913424225655,-79.663545373388160442,741.44914518250777746,51232.148414913841407
20000,236.30572807720852779,-309.20928120001292427,0.85788994737580370753,-100.09772635889905246,472.14765508769283997,-1299.6777723288316793,255.75787267446861506,1144.1074152980361305,-108.00362660525203751,-1999.8391372139456053,3519.0949156690512609,1519.2557784551056557,-2533.9303040230947772,-2920.5877303596703314,-5454.5180343827641991,1144.8117606281311964,1552.7335444056006963,726.54475810088797516,30.588834034199201994,3454.678897168819276,-80.044282853627720442,1289.3233154425470275,50988.458317390912271
21000,232.85659438577502556,696.02131371531618242,0.86434992689954481815,1249.7888008647548759,-121.75961905538532903,960.03475933657784935,77.464771407427008398,-1173.7887197048794405,-731.18315737375849039,-1527.2031885827457245,3467.7299786624430453,1940.5267900796973208,-2576.9778338475607598,-2398.7823452197085317,-4975.7601790672688367,1147.4281951952275449,1514.3133457843523502,752.83479968710707908,33.980649817836315663,3448.5569904845233395,-80.647022668692201819,2454.2300105759700273,50607.38071626357123
22000,229.26059320999618762,1296.4601763380946977,0.86168771364893814724,1869.8505874491336272,1337.4922455103119319,682.03769605484114891,236.8371751283134472,291.46218691132480672,98.347753353952796829,-1912.0086897879327807,3414.1778724253545079,1502.1691826374217271,-2540.9408230489821108,-2850.373275634825859,-5391.3140986838088793,1173.3270057591219029,1538.0480784191308885,736.03191205591269863,31.898412661709951266,3479.305408895875189,-80.398628394927740715,2461.9866064007323985,50763.733925654029008
