CanonicalSmiles,IsomericSmiles_x,inchi,Table,URL,SearchQuery,SMILES
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
C=CC(C)(C)C,CC(C)(C)C=C,"InChI=1S/C6H12/c1-5-6(2,3)4/h5H,1H2,2-4H3","<table aria-label=""Antoine Equation Parameters"" class=""data""><tr>
<th scope=""col"">Temperature (K)</th>
<th scope=""col"">A</th>
<th scope=""col"">B</th>
<th scope=""col"">C</th>
<th scope=""col"">Reference</th>
<th scope=""col"">Comment</th>
</tr>
<tr class=""exp""><td class=""right-nowrap"">263.69 to 314.66</td><td class=""right-nowrap"">3.90266</td><td class=""right-nowrap"">1062.207</td><td class=""right-nowrap"">-41.84</td><td style=""text-align: left;""><a href=""#ref-11"">Baghdoyan, Malik, et al., 1971</a></td><td style=""text-align: left;"">Coefficents calculated by NIST from author's data.</td></tr>
</table>",https://webbook.nist.gov/cgi/cbook.cgi?ID=C558372&Units=SI&Mask=4,C6H*O0F0,C=CC(C)(C)C
