ATSc11_3,ATSc17_2,ATSm6_2,BertzCT,EState_VSA6,Temperature[K],FPSA3_1,Ipc,MATSEA1_2,MATSP11_6,MATSP15_4,MATSc25_1,MATSm11_1,MATSm16_6,MoRSEV27_3,MoRSEc2_2,MoRSEm20_1,MoRSEm7_7,MoRSEu23_7,MoRSEu29_1,MoRSEu4_7,MoRSEu5_1,MolWt,PBFscore_1,PEOE_VSA5,PNSA3_1,RDFc14_6,RDFc17_4,RDFc5_1,VSA_EState8,WHIM_P3c_2,c_3,fr_Al_COO,fr_bicyclic,getawayHATSEn6_2,getawayHATSIP2_3,getawayHATSIP4_3,getawayHATSV8_2,getawayHATSc13_3,getawayHATSm8_1,getawayHTc_1,getawayHV1_2,getawayHV3_3,getawayHV4_2,getawayHm7_3,getawayREn1_7,getawayRmaxP7_2,k3_2,k_1,rho_1,rho_2
0.0,0.0,0.207828397,66.03910002,0.0,273.19,0.027479467,13.60964047,0.0,3.0,0.0,0.0,2.710542016,0.0,0.011846736,0.003416432,0.110184594,-0.461686015,0.898807269,0.051661916,3.513221347,-1.100666679,82.146,0.240444212,0.0,-43.39043889,8.05e-94,0.0,0.103471993,11.2037037,0.043472199,0.886085506,0,0,0.0,0.744018288,1.131163409,0.0,0.0,0.0,0.009559464,0.046210821,0.340619721,0.038869811,0.0,2.01938909,0.0,0.005571542,0.213422959,0.748387966,0.00530835
0.0,0.0,0.209040343,66.03910002,0.0,276.7905263,0.027497626,13.60964047,0.0,3.0,0.0,0.0,2.710687992,0.0,-0.014096171,0.003472181,0.110080989,-0.466089653,0.753121708,0.049471664,3.550910103,-1.089972122,82.146,0.247853775,0.0,-43.40334914,6.089999999999999e-94,0.0,0.103790824,11.2037037,0.04416917,0.853783868,0,0,0.0,0.743709883,1.12453115,0.0,0.0,0.0,0.009504662,0.045205608,0.337509877,0.038476807,0.0,2.024401582,0.0,0.005660561,0.212110478,0.743315765,0.005261759
0.0,0.0,0.20980304,66.03910002,0.0,280.3910526,0.02753306,13.60964047,0.0,3.0,0.0,0.0,2.697734196,0.0,0.020957905,0.003490699,0.110357307,-0.476378884,0.855177991,0.048010355,3.523532088,-1.08179617,82.146,0.253121363,0.0,-43.40337005,5.16e-94,0.0,0.103653943,11.2037037,0.044419024,0.872203929,0,0,0.0,0.742022143,1.132562167,0.0,0.0,0.0,0.00953001,0.045684724,0.332234604,0.039206994,0.0,2.026148414,0.0,0.00579147,0.210867767,0.739844277,0.005460189
0.0,0.0,0.207516902,66.03910002,0.0,283.9915789,0.02748644,13.60964047,0.0,3.0,0.0,0.0,2.703560548,0.0,0.012227886,0.003507003,0.110091921,-0.47241056,0.89689625,0.04815557,3.564930011,-1.09337836,82.146,0.246286973,0.0,-43.40060411,1.1e-93,0.0,0.102678592,11.2037037,0.043912397,0.869309181,0,0,0.0,0.737651176,1.132266249,0.0,0.0,0.0,0.009506939,0.045304087,0.342229061,0.03849633,0.0,2.016037914,0.0,0.005664408,0.212511624,0.741536417,0.006264138
0.0,0.0,0.210169084,66.03910002,0.0,287.5921053,0.027531216,13.60964047,0.0,3.0,0.0,0.0,2.702259457,0.0,-0.030248265,0.003527878,0.110665968,-0.454125981,0.927740503,0.046939176,3.438416662,-1.080884683,82.146,0.253289976,0.0,-43.40561717,4.75e-94,0.0,0.10225117,11.2037037,0.044882255,0.871222461,0,0,0.0,0.745933891,1.131704756,0.0,0.0,0.0,0.009482582,0.045092283,0.342731932,0.038656206,0.0,2.018944665,0.0,0.005790698,0.211012985,0.734403106,0.005950971
0.0,0.0,0.212383825,66.03910002,0.0,291.1926316,0.027542803,13.60964047,0.0,3.0,0.0,0.0,2.68679868,0.0,0.010556423,0.00354499,0.110624259,-0.459062958,0.793537278,0.045239751,3.363583758,-1.073299445,82.146,0.257489324,0.0,-43.4186917,4.7399999999999997e-94,0.0,0.102722362,11.2037037,0.045150987,0.859208231,0,0,0.0,0.7437767,1.141976153,0.0,0.0,0.0,0.009448463,0.04477398,0.33720029,0.038574068,0.0,2.02045358,0.0,0.005820523,0.209972188,0.733974759,0.005219581
0.0,0.0,0.215020109,66.03910002,0.0,294.7931579,0.027563877,13.60964047,0.0,3.0,0.0,0.0,2.689032749,0.0,0.001410558,0.003551467,0.110905927,-0.475913991,0.760181009,0.043458891,3.394537935,-1.070430924,82.146,0.260213721,0.0,-43.41190329,3.56e-94,0.0,0.102481398,11.2037037,0.04540651,0.856944538,0,0,0.0,0.742929824,1.116352901,0.0,0.0,0.0,0.009474368,0.045045197,0.327385263,0.039050795,0.0,2.021849906,0.0,0.005861006,0.209442147,0.728583068,0.005246938
0.0,0.0,0.213267569,66.03910002,0.0,298.3936842,0.027574633,13.60964047,0.0,3.0,0.0,0.0,2.685535669,0.0,-0.011558025,0.003578406,0.110821684,-0.459054953,0.756870845,0.041845525,3.38193911,-1.061623333,82.146,0.266624932,0.0,-43.43205532,3.1499999999999996e-94,0.0,0.102675039,11.2037037,0.046004059,0.8428656,0,0,0.0,0.736531625,1.125185686,0.0,0.0,0.0,0.009413531,0.0439185,0.336888855,0.038299427,0.0,2.02707472,0.0,0.005931836,0.208230933,0.724248054,0.006109995
0.0,0.0,0.214357773,66.03910002,0.0,301.9942105,0.027554844,13.60964047,0.0,3.0,0.0,0.0,2.686100533,0.0,0.007272867,0.003581796,0.110840243,-0.453115395,0.847498703,0.041013748,3.500402424,-1.070380468,82.146,0.262575514,0.0,-43.42010673,4.96e-94,0.0,0.101826136,11.2037037,0.045738254,0.857,0,0,0.0,0.740298824,1.130787096,0.0,0.0,0.0,0.009430327,0.044466329,0.342214917,0.03859426,0.0,2.024217357,0.0,0.005872491,0.209424287,0.721922207,0.005745573
0.0,0.0,0.214157486,66.03910002,0.0,305.5947368,0.027576937,13.60964047,0.0,3.0,0.0,0.0,2.680496319,0.0,-0.014938724,0.003632807,0.111021407,-0.466667745,0.749119723,0.040489696,3.424589172,-1.061965298,82.146,0.266380264,0.0,-43.42750565,3.11e-94,0.0,0.101696219,11.2037037,0.046056409,0.835493071,0,0,0.0,0.736907054,1.14170277,0.0,0.0,0.0,0.009433341,0.044907961,0.276500912,0.039391159,0.0,2.022701656,0.0,0.005830517,0.208206623,0.718381088,0.005576863
