ATSc11_3,ATSc17_2,ATSm6_2,BertzCT,EState_VSA6,Temperature[K],FPSA3_1,Ipc,MATSEA1_2,MATSP11_6,MATSP15_4,MATSc25_1,MATSm11_1,MATSm16_6,MoRSEV27_3,MoRSEc2_2,MoRSEm20_1,MoRSEm7_7,MoRSEu23_7,MoRSEu29_1,MoRSEu4_7,MoRSEu5_1,MolWt,PBFscore_1,PEOE_VSA5,PNSA3_1,RDFc14_6,RDFc17_4,RDFc5_1,VSA_EState8,WHIM_P3c_2,c_3,fr_Al_COO,fr_bicyclic,getawayHATSEn6_2,getawayHATSIP2_3,getawayHATSIP4_3,getawayHATSV8_2,getawayHATSc13_3,getawayHATSm8_1,getawayHTc_1,getawayHV1_2,getawayHV3_3,getawayHV4_2,getawayHm7_3,getawayREn1_7,getawayRmaxP7_2,k3_2,k_1,rho_1,rho_2
-0.172850474,0.000322647,0.205939414,29.01955001,0.0,289.04,0.031303063,20.98630086,0.0,1.5,0.0,0.0,-0.012992816,0.0,-0.05664036,0.004964396,0.1412241,-0.36056031,0.746763591,-0.155057965,0.576700075,-0.775630716,84.162,0.388952104,6.578935684,-41.20173697,0.000744374,4.87e-195,0.140421104,5.782222222,0.021551134,1.167161894,0,0,0.057995892,0.783529722,0.873106989,0.0,0.0,0.0,0.010868622,0.063603961,0.229467574,0.066414745,0.0,2.045965022,0.001447681,0.007794301,0.512545524,0.676633387,0.006507505
-0.170134169,0.000374096,0.206998153,29.01955001,0.0,291.5884211,0.031295032,20.98630086,0.0,1.5,0.0,0.0,-0.079064946,0.0,-0.064639453,0.004975038,0.141951398,-0.390022674,0.595551208,-0.154900111,0.71531273,-0.769003371,84.162,0.391977475,6.578935684,-41.21605477,0.000669682,5.69e-193,0.139682537,5.782222222,0.021545611,1.072478843,0,0,0.057724236,0.77759919,0.882250936,0.0,0.0,0.0,0.010791225,0.063744834,0.232738728,0.065642619,0.0,2.055893309,0.001458117,0.007849476,0.515024694,0.678641556,0.008029612
-0.180145153,0.000378857,0.204122981,29.01955001,0.0,294.1368421,0.031319816,20.98630086,0.0,1.5,0.0,0.0,-0.140454659,0.0,-0.072968044,0.0050202,0.141878264,-0.299314208,0.518940389,-0.154398419,0.784879689,-0.760355542,84.162,0.39071278,6.578935684,-41.24106696,0.000740122,8.649999999999999e-189,0.139549043,5.782222222,0.021451092,1.112823423,0,0,0.058739848,0.778220401,0.878841302,0.0,0.0,0.0,0.010827737,0.063310314,0.23808025,0.065324235,0.0,2.049227087,0.001444416,0.007760066,0.520528938,0.675977795,0.006236783
-0.176952708,0.000397309,0.206502013,29.01955001,0.0,296.6852632,0.031317854,20.98630086,0.0,1.5,0.0,0.0,-0.156628659,0.0,-0.058198467,0.005140409,0.14223899,-0.337846281,0.530805788,-0.15460063,0.833787897,-0.77469375,84.162,0.395179578,6.578935684,-41.23811482,0.00079897,2.4899999999999997e-189,0.138508844,5.782222222,0.021596771,1.037355461,0,0,0.059393091,0.771944067,0.876567424,0.0,0.0,0.0,0.010888815,0.063407846,0.226863068,0.065084796,0.0,2.047740088,0.001491818,0.007783039,0.522571932,0.66816802,0.005999946
-0.19210865,0.000364382,0.204624713,29.01955001,0.0,299.2336842,0.031271044,20.98630086,0.0,1.5,0.0,0.0,-0.088447653,0.0,-0.03252278,0.005043355,0.141089358,-0.345050687,0.587888884,-0.152101839,0.836859797,-0.771005064,84.162,0.400323577,6.578935684,-41.22834202,0.000686148,2.4400000000000002e-193,0.138582474,5.782222222,0.02177685,1.069010897,0,0,0.058633074,0.781266044,0.876438864,0.0,0.0,0.0,0.010818828,0.063642478,0.144968975,0.066402494,0.0,2.054532321,0.001473547,0.007837043,0.516372137,0.670117026,0.005711738
-0.176953553,0.000397313,0.206879979,29.01955001,0.0,301.7821053,0.031306622,20.98630086,0.0,1.5,0.0,0.0,-0.158040533,0.0,-0.075708624,0.005068799,0.141639492,-0.347757532,0.617714693,-0.150280559,0.825877367,-0.774548874,84.162,0.387527441,6.578935684,-41.22738838,0.000775605,1.4100000000000001e-192,0.137363874,5.782222222,0.021629382,1.074818372,0,0,0.059073383,0.782146629,0.86147497,0.0,0.0,0.0,0.010869279,0.064361343,0.216899379,0.066080855,0.0,2.063356009,0.001462733,0.007704922,0.518960463,0.669978827,0.006418604
-0.174830095,0.000322646,0.207969733,29.01955001,0.0,304.3305263,0.031266745,20.98630086,0.0,1.5,0.0,0.0,-0.02078493,0.0,-0.050561905,0.005043964,0.139569114,-0.347293864,0.557862822,-0.151649588,0.920671072,-0.774981693,84.162,0.39399933,6.578935684,-41.22520262,0.000708894,8.22e-193,0.137734279,5.782222222,0.021630636,1.129552925,0,0,0.058415636,0.782668453,0.878272418,0.0,0.0,0.0,0.01073829,0.062335482,0.224607343,0.06607031,0.0,2.0527224,0.00149488,0.007899506,0.512590107,0.669221385,0.006292694
-0.187746358,0.000364386,0.207619782,29.01955001,0.0,306.8789474,0.031313148,20.98630086,0.0,1.5,0.0,0.0,-0.154519784,0.0,-0.055054003,0.005043227,0.140935153,-0.33533502,0.624258388,-0.150066355,0.571017757,-0.76647004,84.162,0.397157637,6.578935684,-41.23921818,0.000918982,2.51e-190,0.137133442,5.782222222,0.022009631,1.122556824,0,0,0.059101267,0.782863634,0.885109795,0.0,0.0,0.0,0.010868201,0.062591819,0.229242104,0.064596493,0.0,2.066328061,0.001444532,0.007789138,0.520853958,0.663390027,0.006489508
-0.170137233,0.000378848,0.208288048,29.01955001,0.0,309.4273684,0.031288898,20.98630086,0.0,1.5,0.0,0.0,-0.08801873,0.0,-0.099581068,0.005023732,0.139995172,-0.332600342,0.595809896,-0.149740893,0.72681522,-0.778811738,84.162,0.394259827,6.578935684,-41.22535107,0.000801858,2.94e-193,0.13666378,5.782222222,0.022292075,1.148955474,0,0,0.057962757,0.780119344,0.886617637,0.0,0.0,0.0,0.010800222,0.06240844,0.233482112,0.065613101,0.0,2.048933749,0.001433653,0.007782617,0.515512987,0.659615303,0.007404506
-0.176952708,0.000392778,0.205702467,29.01955001,0.0,311.9757895,0.031282161,20.98630086,0.0,1.5,0.0,0.0,-0.133716982,0.0,-0.078397646,0.005081512,0.140999546,-0.380185651,0.64121971,-0.149330638,0.790686284,-0.769565804,84.162,0.390592325,6.578935684,-41.23000152,0.00071269,5.5e-193,0.1366362,5.782222222,0.022183547,1.056059007,0,0,0.059606562,0.780403335,0.875676205,0.0,0.0,0.0,0.010832296,0.062955024,0.235070277,0.066018826,0.0,2.051713046,0.001462238,0.007740525,0.515705181,0.659691212,0.007935107
-0.176953553,0.000359438,0.206540918,29.01955001,0.0,314.5242105,0.031313666,20.98630086,0.0,1.5,0.0,0.0,-0.132358723,0.0,-0.100617831,0.005020947,0.140879062,-0.374670042,0.701732366,-0.147927046,1.047169872,-0.767581842,84.162,0.3948753,6.578935684,-41.2499446,0.000893557,2.3e-188,0.135882842,5.782222222,0.022041501,1.204100457,0,0,0.057964072,0.781816866,0.867623581,0.0,0.0,0.0,0.010860542,0.063826818,0.227899475,0.065643733,0.0,2.052473693,0.001427817,0.007788367,0.521125357,0.65661105,0.007255396
-0.194765188,0.000427702,0.210021113,29.01955001,0.0,317.0726316,0.031350857,20.98630086,0.0,1.0,0.0,0.0,-0.191157022,0.0,-0.086055576,0.0050574,0.14163462,-0.342771427,0.589335964,-0.147733953,0.603854285,-0.779747981,84.162,0.392843403,6.578935684,-41.25854307,0.001040304,2.67e-186,0.135144537,5.782222222,0.0224159,1.044955381,0,0,0.05836029,0.773731511,0.872864915,0.0,0.0,0.0,0.010911228,0.063338369,0.240416661,0.064951428,0.0,2.051106758,0.001443436,0.007751619,0.526111027,0.651515803,0.006892602
