ATSc11_3,ATSc17_2,ATSm6_2,BertzCT,EState_VSA6,Temperature[K],FPSA3_1,Ipc,MATSEA1_2,MATSP11_6,MATSP15_4,MATSc25_1,MATSm11_1,MATSm16_6,MoRSEV27_3,MoRSEc2_2,MoRSEm20_1,MoRSEm7_7,MoRSEu23_7,MoRSEu29_1,MoRSEu4_7,MoRSEu5_1,MolWt,PBFscore_1,PEOE_VSA5,PNSA3_1,RDFc14_6,RDFc17_4,RDFc5_1,VSA_EState8,WHIM_P3c_2,c_3,fr_Al_COO,fr_bicyclic,getawayHATSEn6_2,getawayHATSIP2_3,getawayHATSIP4_3,getawayHATSV8_2,getawayHATSc13_3,getawayHATSm8_1,getawayHTc_1,getawayHV1_2,getawayHV3_3,getawayHV4_2,getawayHm7_3,getawayREn1_7,getawayRmaxP7_2,k3_2,k_1,rho_1,rho_2
-0.207728203,0.000160173,0.266013681,36.0,0.0,273.19,0.032788408,20.98630086,0.0,2.866666667,0.0,0.0,0.604379284,0.0,-0.064306499,0.007854557,0.16855456,-0.499795254,0.321048309,-0.110278487,1.953847833,-0.476884641,82.146,0.54879849,13.15787137,-43.22906897,6.28e-06,4.15e-274,0.144426858,7.100833333,0.027165367,1.008673596,0,0,0.061723196,0.751346235,0.934786781,0.0,0.0,0.0,0.012849141,0.066781056,0.216891435,0.069561108,0.0,2.046239721,0.001732051,0.008223186,0.494655394,0.711081191,0.005952222
-0.186760665,0.000206776,0.265344182,36.0,0.0,276.3063158,0.03277156,20.98630086,0.0,2.666666667,0.0,0.0,0.570057967,0.0,-0.090451948,0.007744243,0.168374394,-0.498682036,0.300247156,-0.109325593,1.907531198,-0.471690335,82.146,0.546694637,13.15787137,-43.242294,6.76e-06,1.11e-276,0.144122416,7.100833333,0.027134534,0.995390254,0,0,0.061427375,0.747008353,0.934043133,0.0,0.0,0.0,0.012765197,0.066081645,0.198699013,0.067893731,0.0,2.053056102,0.001715224,0.008268778,0.494131095,0.711127965,0.005536606
-0.183698917,0.000277401,0.267865837,36.0,0.0,279.4226316,0.032786566,20.98630086,0.0,2.4,0.0,0.0,0.523019802,0.0,-0.068553785,0.008054267,0.168693884,-0.474883922,0.410733728,-0.107732998,2.048697162,-0.470655745,82.146,0.531402634,13.15787137,-43.22033923,3.77e-06,2.67e-283,0.143193435,7.100833333,0.027475605,0.96234131,0,0,0.061865828,0.752932295,0.935895981,0.0,0.0,0.0,0.012761815,0.067360569,0.194260937,0.068779464,0.0,2.058048156,0.001754401,0.008277846,0.491497642,0.706515494,0.005582911
-0.183698917,0.000244653,0.261984492,36.0,0.0,282.5389474,0.032749211,20.98630086,0.0,2.866666667,0.0,0.0,0.642119404,0.0,-0.088413393,0.007603259,0.167068606,-0.487625305,0.347525999,-0.106726158,1.808000445,-0.475358039,82.146,0.505572352,13.15787137,-43.17503303,1.28e-06,1.07e-282,0.143645823,7.100833333,0.02777589,0.999442945,0,0,0.059257001,0.760923756,0.93306842,0.0,0.0,0.0,0.012728306,0.067226867,0.200350121,0.069950362,0.0,2.06086263,0.001740998,0.00837817,0.481177812,0.707402427,0.005553957
-0.186760665,0.000226508,0.266593499,36.0,0.0,285.6552632,0.032818481,20.98630086,0.0,2.4,0.0,0.0,0.539925531,0.0,-0.14494866,0.008092765,0.168197807,-0.495244094,0.321134177,-0.107085352,2.014088858,-0.4723473,82.146,0.497952219,13.15787137,-43.13333641,8.11e-07,2.19e-296,0.142224309,7.100833333,0.028165021,0.942595556,0,0,0.061232373,0.756511147,0.945021757,0.0,0.0,0.0,0.012640192,0.067791369,0.206890809,0.069721099,0.0,2.054926936,0.001777989,0.008468099,0.478583648,0.698538403,0.005271154
-0.189804259,0.00026154,0.264417185,36.0,0.0,288.7715789,0.032791838,20.98630086,0.0,2.4,0.0,0.0,0.556683168,0.0,-0.069845077,0.00803783,0.16775781,-0.495774614,0.390538442,-0.105156449,1.858807916,-0.483117022,82.146,0.500727928,13.15787137,-43.11478419,5.72e-07,1.87e-300,0.142714943,7.100833333,0.028384462,0.960562321,0,0,0.059419788,0.748899061,0.939530256,0.0,0.0,0.0,0.012734057,0.068947967,0.209614371,0.070923684,0.0,2.084802442,0.001772137,0.008423873,0.474797204,0.699204301,0.00576559
-0.207728203,0.000277401,0.266561516,36.0,0.0,291.8878947,0.032785277,20.98630086,0.0,2.4,0.0,0.0,0.510569518,0.0,-0.095539425,0.007984421,0.167742164,-0.496971159,0.305595913,-0.105621518,1.98351001,-0.468255741,82.146,0.531237556,13.15787137,-43.19738831,2.69e-06,2.7e-287,0.141649132,7.100833333,0.028214071,0.987027672,0,0,0.061421843,0.753821829,0.937019921,0.0,0.0,0.0,0.012700725,0.067688287,0.226030228,0.070061445,0.0,2.06019554,0.001744916,0.008442875,0.486948756,0.697001078,0.006359166
-0.207728203,0.000226508,0.265544077,36.0,0.0,295.0042105,0.032772622,20.98630086,0.0,2.4,0.0,0.0,0.532150715,0.0,-0.112296492,0.00802516,0.167563164,-0.476990914,0.311490235,-0.105511841,1.957789321,-0.476903959,82.146,0.551425254,13.15787137,-43.22628022,7.36e-06,3.07e-280,0.140820808,7.100833333,0.028204521,0.918476817,0,0,0.060900627,0.754089562,0.936374639,0.0,0.0,0.0,0.012712427,0.06586195,0.210668876,0.067935543,0.0,2.06823527,0.001751166,0.008349339,0.493078068,0.687830034,0.005745921
-0.189804259,0.000292402,0.267597331,36.0,0.0,298.1205263,0.032766817,20.98630086,0.0,2.4,0.0,0.0,0.48965685,0.0,-0.081907302,0.00809717,0.166826475,-0.500445932,0.377718081,-0.103195728,1.980685923,-0.473952992,82.146,0.50288137,13.15787137,-43.16625607,1.24e-06,3.49e-293,0.140693833,7.100833333,0.02886578,0.941962679,0,0,0.061518264,0.748368077,0.941229247,0.0,0.0,0.0,0.012640666,0.068715878,0.207708334,0.07067609,0.0,2.068105821,0.001784877,0.00842161,0.480341139,0.685216943,0.007393144
-0.207728203,0.000292402,0.268380932,36.0,0.0,301.2368421,0.032758901,20.98630086,0.0,2.4,0.0,0.0,0.445931709,0.0,-0.096949461,0.008059369,0.168614268,-0.501747943,0.443529573,-0.104577747,2.229464563,-0.467944069,82.146,0.545171903,13.15787137,-43.23684283,5.36e-06,1e-283,0.139670025,7.100833333,0.028649236,0.984363249,0,0,0.062222651,0.752154862,0.933251081,0.0,0.0,0.0,0.012783972,0.068389418,0.195489286,0.069860724,0.0,2.059729029,0.00176232,0.008188146,0.491748787,0.684156107,0.005788946
