step,temp,press,density,pxx,pyy,pzz,pxy,pxz,pyz,pe,ke,etotal,evdwl,ecoul,epair,ebond,eangle,edihed,eimp,emol,etail,enthalpy,vol
0,1010.0639255500590252,1379.5360332849743372,0.31135105561015047337,772.6418410684140099,1622.7706917923937908,1743.195566994113733,-1012.0028289342027392,719.15706601928059172,-177.155956579503993,11062.921333786527612,15042.0002673086492,26104.92160109517863,-512.14357280066417388,-1798.992184021056346,-2311.1357568217199514,4801.8658103015914094,6438.5279186934812969,1983.1498425137515369,150.51351909942331986,13374.057090608248473,-29.050196984202774075,28931.506636057594733,140492.49242774624145
1000,231.50216651340826957,-450.81107647905105296,0.33430846958014370784,-518.79012763260288921,-413.63671936327557432,-420.00638244127429743,318.52414212346894828,-301.65806861092130475,-131.99043345278258244,789.77931519766582369,3447.559666761544122,4237.3389819592102867,-919.5013616008191093,-1822.9244030334243689,-2742.4257646342430235,1126.3099222235987327,1567.549350026888078,802.3091205267191981,36.036687054703293143,3532.2050798319091882,-31.192208023058075383,3377.0852846179009248,130844.68328791018575
2000,228.09441310542192127,-319.41506962478803189,0.36268973726234071675,-403.57357445111540528,-649.84273090003023299,95.171096476782039986,527.18949351834169192,-88.268595961746441958,-444.95947039925772515,164.02166054625880065,3396.8109701917328493,3560.8326307379916216,-1143.1204018424818969,-2065.9000961241154073,-3209.0204979665973042,1061.5229597156583168,1515.7673485148711734,763.25025572788683803,32.5015945544396061,3373.0421585128560764,-33.840284533392967603,2999.0096700723242975,120605.7997473472642
3000,240.44311845878684153,460.31556894615692954,0.39738319921782389033,229.04091290062459052,794.18247666950480834,357.72331726834175925,574.41140580562318974,8.8336233955964527098,-178.47732337150833359,113.40475671133802393,3580.7094587206402139,3694.1142154319782094,-1246.4913730398732241,-2046.1228554322458422,-3292.6142284721190663,1067.8191302757768426,1507.5110482416755531,796.99908852507815027,33.689718140926459,3406.018985183456607,-37.077311952155554309,4433.0820095941217005,110076.33414995633939
4000,235.18410044376238943,91.555113117703143644,0.42434995410041675967,520.84954023265754586,-517.99374879853451148,271.80954791898540179,-310.21340488738451313,-401.50104054973434131,-81.788955286949260426,-226.2942371879503014,3502.3914944940697751,3276.0972573061194453,-1338.713241050625129,-2248.6158430071559451,-3587.3290840577810741,1050.6655629931763087,1512.2611898402578845,767.26977337013647684,30.83832066626013102,3361.034846869831199,-39.593409223220959348,3413.735079772478457,103081.1607259624725
5000,232.41237581562117498,442.65456607902041242,0.45876633993871740458,532.25057216411119043,398.81788203405244531,396.89524403889873838,182.3668625283847291,-520.64217911698381158,263.02455061462256936,-182.19514153657024735,3461.1146192956002778,3278.9194777590300873,-1450.3339627811999435,-2036.6428087570341177,-3486.9767715382340612,1008.2102900331868796,1512.1103745078580687,754.76468050435960322,29.696284956259262344,3304.7816300016638706,-42.804584422635841179,3894.4544767129136744,95348.071588083475945
6000,235.50765022399011173,-398.85383081459696086,0.49321731983940908517,208.09448413574051528,-574.71469773679473292,-829.94127884273666496,84.799278220513116366,-147.18437520540163632,279.44713412616283676,-659.7556393569325337,3507.2098389152138225,2847.4541995582812888,-1510.8936807559357476,-2545.3230871899795602,-4056.216767945914853,1033.1962424966345679,1521.0935029912720893,811.2939449826164946,30.87743811845930253,3396.4611285889827741,-46.018987375125064432,2331.5669456343784987,88688.057096053235
7000,235.88927268800455295,-678.09847462148673003,0.52996592042920109833,-557.24703998199925081,-866.02201714835268831,-611.02636673410665935,170.21721952789442867,23.471858058605420183,325.371320537103486,-511.83512899839246302,3512.8930091191100473,3001.0578801207175275,-1596.4403964325861125,-2218.902202602874695,-3815.3425990354608075,1009.9003942477296505,1506.3686097611287096,759.37636769298899253,27.862098335220796486,3303.5074700370678329,-49.447766776354903584,2184.8060397591784749,82538.299419808594394
8000,231.99123310227986394,-222.76645982704206972,0.5695718287839408589,-584.03573571749905113,-409.18149290010939012,324.9178491364822321,-54.787954501314814593,-143.1457672277607287,-136.98690499382760777,-132.68307753994002951,3454.842908519269713,3322.159830979329854,-1705.6695962015533041,-1734.2609162789854054,-3439.9305124805387095,1006.2422838264543543,1494.3329730266591469,777.2998318989971267,29.372346188487988172,3307.2474349405988505,-53.143143486058804115,3072.6540276371420077,76798.892803514972911
9000,233.30129043523541554,-600.66472550203332048,0.60558346916873506682,-485.39547259612822927,-376.29693235037404975,-940.30177155959734137,-272.23654110787566651,323.91286443504543513,130.88537799163316322,-709.81339315684238045,3474.3524487117633726,2764.5390555549211058,-1785.7920648240890387,-2236.8169299131513981,-4022.6089947372406641,1015.0039916215093854,1501.2219420867563713,766.26659500973357808,30.303072862398110487,3312.7956015803974879,-56.503161793536285984,2131.7813159004645058,72231.968093058676459
