SMILES,LowerTempLimit[K],UpperTempLimit[K],TemperatureRange[K],A_antione,B_antione,C_antione,URL,EvaluationTemperature[K],VaporPress[Pa],VP2_LOGPA,smiles,group,group_plot,VP_LOGPA
CC(=O)CC(C)(C)O,295,441.1,146.1,4.9994,1996.859,-41.526,https://webbook.nist.gov/cgi/cbook.cgi?ID=C123422&Units=SI&Mask=4,387,16570.82736,4.219344193,CC(=O)CC(C)(C)O,valid,Val.,4.219344193
Cc1ccc(OC(=O)C(F)(F)F)cc1,365.6,441.5,75.9,4.8087,1890,-49,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1813292&Units=SI&Mask=4,387,16481.01762,4.216984024,Cc1ccc(OC(=O)C(F)(F)F)cc1,valid,Val.,4.216984024
Cc1cccc(C(C)C)c1,289.77,448.06,158.29,4.44393,1784.78,-45.917,https://webbook.nist.gov/cgi/cbook.cgi?ID=C535773&Units=SI&Mask=4,387,16264.64919,4.211244701,Cc1cccc(C(C)C)c1,training,Train,4.211244701
CCCCCCCCCC,367.63,448.27,80.64,4.07857,1501.268,-78.67,https://webbook.nist.gov/cgi/cbook.cgi?ID=C124185&Units=SI&Mask=4,387,16200.93444,4.209540065,CCCCCCCCCC,training,Train,4.209540065
CC(C)CCOCCC(C)C,291.8,446.6,154.8,4.73659,1935.574,-37.417,https://webbook.nist.gov/cgi/cbook.cgi?ID=C544014&Units=SI&Mask=4,387,15840.97323,4.19978186,CC(C)CCOCCC(C)C,training,Train,4.19978186
Cc1cccc(C)c1C,363.48,450.28,86.8,4.16572,1593.958,-66.072,https://webbook.nist.gov/cgi/cbook.cgi?ID=C526738&Units=SI&Mask=4,387,15812.6524,4.199004724,Cc1cccc(C)c1C,training,Train,4.199004724
Cc1ccc(C(C)C)cc1,380.19,451.57,71.38,4.16214,1599.29,-65.491,https://webbook.nist.gov/cgi/cbook.cgi?ID=C99876&Units=SI&Mask=4,387,15410.46692,4.187815798,Cc1ccc(C(C)C)cc1,training,Train,4.187815798
CCCCOCCO,365.8,443.4,77.6,4.25626,1511.414,-88.815,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111762&Units=SI&Mask=4,387,15400.95399,4.187547623,CCCCOCCO,training,Train,4.187547623
CC(=O)OC1CCCCC1,368.7,445.4,76.7,4.8224,1959.7,-39.6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C622457&Units=SI&Mask=4,387,15182.81207,4.181352216,CC(=O)OC1CCCCC1,valid,Val.,4.181352216
CC1=CCC(C(C)C)C=C1,293,448,155,4.68169,1903.599,-41.163,https://webbook.nist.gov/cgi/cbook.cgi?ID=C99832&Units=SI&Mask=4,387,15044.08257,4.177365708,CC1=CCC(C(C)C)C=C1,training,Train,4.177365708
CCC(C)C1CCCCC1,364.61,453.57,88.96,4.01397,1529.373,-70.93,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7058017&Units=SI&Mask=4,387,14971.10626,4.175253893,CCC(C)C1CCCCC1,training,Train,4.175253893
Cc1ccccc1C(C)C,354.32,452.86,98.54,4.54164,1880.47,-36.878,https://webbook.nist.gov/cgi/cbook.cgi?ID=C527844&Units=SI&Mask=4,387,14816.33243,4.170740713,Cc1ccccc1C(C)C,valid,Val.,4.170740713
CCCCCCC(C)=O,296.8,446.1,149.3,4.9448,2004.031,-40.324,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111137&Units=SI&Mask=4,387,14591.40058,4.16409698,CCCCCCC(C)=O,training,Train,4.16409698
CC=Cc1ccccc1,290.7,452,161.3,4.57451,1909.083,-34.276,https://webbook.nist.gov/cgi/cbook.cgi?ID=C637503&Units=SI&Mask=4,387,14524.83042,4.162111071,CC=Cc1ccccc1,training,Train,4.162111071
O=Cc1ccccc1,299.4,452,152.6,3.87652,1380.729,-94.98,https://webbook.nist.gov/cgi/cbook.cgi?ID=C100527&Units=SI&Mask=4,387,14070.83521,4.148319877,O=Cc1ccccc1,training,Train,4.148319877
CCCC(=O)OCCC(C)C,294.4,451.8,157.4,4.64876,1910.84,-40.296,https://webbook.nist.gov/cgi/cbook.cgi?ID=C106274&Units=SI&Mask=4,387,13718.76696,4.137315079,CCCC(=O)OCCC(C)C,training,Train,4.137315079
CCc1cccc(CC)c1,368.24,455.31,87.07,4.13091,1576.261,-72.146,https://webbook.nist.gov/cgi/cbook.cgi?ID=C141935&Units=SI&Mask=4,387,13322.52163,4.124586434,CCc1cccc(CC)c1,test,Test,4.124586434
C1=Cc2ccccc2C1,289.6,454.8,165.2,5.33514,2511.452,16.524,https://webbook.nist.gov/cgi/cbook.cgi?ID=C95136&Units=SI&Mask=4,387,12922.35487,4.111341663,C1=Cc2ccccc2C1,training,Train,4.111341663
CCCCc1ccccc1,369.38,457.48,88.1,4.10808,1577.965,-71.772,https://webbook.nist.gov/cgi/cbook.cgi?ID=C104518&Units=SI&Mask=4,387,12655.82729,4.10229054,CCCCc1ccccc1,training,Train,4.10229054
CCc1ccccc1CC,369.88,457.64,87.76,4.11506,1577.894,-72.596,https://webbook.nist.gov/cgi/cbook.cgi?ID=C135013&Units=SI&Mask=4,387,12484.66897,4.096377032,CCc1ccccc1CC,training,Train,4.096377032
CCc1ccc(CC)cc1,369.97,457.97,88,4.12544,1589.273,-71.131,https://webbook.nist.gov/cgi/cbook.cgi?ID=C105055&Units=SI&Mask=4,387,12416.7875,4.094009249,CCc1ccc(CC)cc1,training,Train,4.094009249
C1CCC2CCCCC2C1,365.51,461.02,95.51,3.99304,1572.899,-65.947,https://webbook.nist.gov/cgi/cbook.cgi?ID=C493027&Units=SI&Mask=4,387,12412.2929,4.093852015,C1CCC2CCCCC2C1,training,Train,4.093852015
C1CCC2(CC1)CCCC2,348,389.3,41.3,5.0487,2313.661,1.343,https://webbook.nist.gov/cgi/cbook.cgi?ID=C176636&Units=SI&Mask=4,387,12328.86177,4.090922983,C1CCC2(CC1)CCCC2,training,Train,4.090922983
CC1=CCC(=C(C)C)CC1,313.7,452.1,138.4,2.95742,934.936,-146.641,https://webbook.nist.gov/cgi/cbook.cgi?ID=C586629&Units=SI&Mask=4,387,11686.15786,4.067671748,CC1=CCC(=C(C)C)CC1,training,Train,4.067671748
CCOC(=O)CC(C)=O,301.7,454,152.3,5.16327,2189.547,-29.184,https://webbook.nist.gov/cgi/cbook.cgi?ID=C141979&Units=SI&Mask=4,387,11068.06917,4.044071865,CCOC(=O)CC(C)=O,test,Test,4.044071865
CCOCc1ccccc1,299,458,159,4.67028,1947.232,-40.91,https://webbook.nist.gov/cgi/cbook.cgi?ID=C539300&Units=SI&Mask=4,387,11063.82652,4.043905358,CCOCc1ccccc1,training,Train,4.043905358
CCC(CO)CC(C)C,343.18,449.54,106.36,4.05413,1326.147,-122.631,https://webbook.nist.gov/cgi/cbook.cgi?ID=C106672&Units=SI&Mask=4,387,10910.81747,4.03785729,CCC(CO)CC(C)C,training,Train,4.03785729
CCCCCOCCCCC,378.61,459.9,81.29,3.87144,1396.465,-98.829,https://webbook.nist.gov/cgi/cbook.cgi?ID=C693652&Units=SI&Mask=4,387,10604.26282,4.025480483,CCCCCOCCCCC,test,Test,4.025480483
CCCCCCCO,336.8,449.6,112.8,3.9794,1256.783,-133.487,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111706&Units=SI&Mask=4,387,10517.93211,4.021930363,CCCCCCCO,training,Train,4.021930363
C=Cc1ccc(CC)cc1,299,462,163,4.70051,2015.517,-32.959,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3454077&Units=SI&Mask=4,387,10176.9701,4.007618499,C=Cc1ccc(CC)cc1,valid,Val.,4.007618499
CCCCCC(=O)OCCC,316.1,393.5,77.4,5.11462,2110.521,-41.492,https://webbook.nist.gov/cgi/cbook.cgi?ID=C626777&Units=SI&Mask=4,387,10142.90385,4.006162309,CCCCCC(=O)OCCC,training,Train,4.006162309
Oc1ccccc1,380.3,454.9,74.6,4.24688,1509.677,-98.949,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108952&Units=SI&Mask=4,387,10136.17423,4.005874067,Oc1ccccc1,training,Train,4.005874067
CCCOc1ccccc1,374,463.1,89.1,5.28532,2503.005,11.18,https://webbook.nist.gov/cgi/cbook.cgi?ID=C622855&Units=SI&Mask=4,387,9981.726818,3.99920568,CCCOc1ccccc1,training,Train,3.99920568
CCCCCCCCC(C)C,273,462.37,189.37,4.21961,1640.288,-72.933,https://webbook.nist.gov/cgi/cbook.cgi?ID=C6975980&Units=SI&Mask=4,387,9928.354395,3.996877271,CCCCCCCCC(C)C,valid,Val.,3.996877271
CCc1ccccc1OC,302.9,460.3,157.4,4.8366,2037.873,-38.523,https://webbook.nist.gov/cgi/cbook.cgi?ID=C14804321&Units=SI&Mask=4,387,9742.239814,3.988658816,CCc1ccccc1OC,training,Train,3.988658816
C=Cc1cccc(CC)c1,301.4,464.7,163.3,4.55575,1916.608,-43.472,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7525624&Units=SI&Mask=4,387,9474.579594,3.976559949,C=Cc1cccc(CC)c1,training,Train,3.976559949
CC12CCC(C1)C(C)(C)C2=O,301,464,163,4.76003,2055.813,-31.729,https://webbook.nist.gov/cgi/cbook.cgi?ID=C4695629&Units=SI&Mask=4,387,9406.430371,3.973424845,CC12CCC(C1)C(C)(C)C2=O,test,Test,3.973424845
CCCC(C)c1ccccc1,302,466,164,4.52531,1901.952,-45.153,https://webbook.nist.gov/cgi/cbook.cgi?ID=C29316050&Units=SI&Mask=4,387,9152.880559,3.961557795,CCCC(C)c1ccccc1,training,Train,3.961557795
C=Cc1cc(C)ccc1C,302,466,164,4.57734,1942.838,-41.3,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2039896&Units=SI&Mask=4,387,9064.178079,3.957328429,C=Cc1cc(C)ccc1C,training,Train,3.957328429
CC(C)CCOC(=O)CC(C)C,300,467,167,4.79541,2131.904,-22.101,https://webbook.nist.gov/cgi/cbook.cgi?ID=C659701&Units=SI&Mask=4,387,8973.470625,3.952960445,CC(C)CCOC(=O)CC(C)C,training,Train,3.952960445
C=CCCCCCCCCC,379.02,466.89,87.87,4.09152,1562.469,-83.407,https://webbook.nist.gov/cgi/cbook.cgi?ID=C821954&Units=SI&Mask=4,387,8809.048576,3.944929005,C=CCCCCCCCCC,training,Train,3.944929005
CC(C)=CCCC(C)O,315.1,447.5,132.4,6.98845,3173.202,6.856,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1569604&Units=SI&Mask=4,387,8544.629098,3.931693216,CC(C)=CCCC(C)O,training,Train,3.931693216
CCCCC(CC)CO,347.22,456.7,109.48,4.01389,1325.949,-126.68,https://webbook.nist.gov/cgi/cbook.cgi?ID=C104767&Units=SI&Mask=4,387,8324.441772,3.92035512,CCCCC(CC)CO,training,Train,3.92035512
Cc1cc(C)c(C)cc1C,318,469.1,151.1,2.9204,908.263,-160.447,https://webbook.nist.gov/cgi/cbook.cgi?ID=C95932&Units=SI&Mask=4,387,8153.553604,3.911346931,Cc1cc(C)c(C)cc1C,training,Train,3.911346931
CCCCCCCC(C)=O,305.3,468,162.7,4.72392,2030.504,-37.948,https://webbook.nist.gov/cgi/cbook.cgi?ID=C821556&Units=SI&Mask=4,387,8067.216427,3.906723708,CCCCCCCC(C)=O,training,Train,3.906723708
CCCCCCCCCCC,377.61,470.42,92.81,4.10164,1572.477,-85.128,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1120214&Units=SI&Mask=4,387,7808.267664,3.892554692,CCCCCCCCCCC,training,Train,3.892554692
CCCCCCCC(=O)OC,373.5,418.9,45.4,4.37093,1703.997,-76.233,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111115&Units=SI&Mask=4,387,7722.038757,3.887731977,CCCCCCCC(=O)OC,valid,Val.,3.887731977
CCc1ccc(OC)cc1,306.7,469.7,163,4.70046,2011.974,-41.003,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1515953&Units=SI&Mask=4,387,7681.673139,3.885455824,CCc1ccc(OC)cc1,valid,Val.,3.885455824
CCc1cccc(OC)c1,306.9,469.7,162.8,4.71141,2023.231,-39.966,https://webbook.nist.gov/cgi/cbook.cgi?ID=C10568384&Units=SI&Mask=4,387,7609.293891,3.881344358,CCc1cccc(OC)c1,test,Test,3.881344358
O=Cc1ccccc1O,306,469.7,163.7,4.8788,2153.821,-28.196,https://webbook.nist.gov/cgi/cbook.cgi?ID=C90028&Units=SI&Mask=4,387,7516.598002,3.876021324,O=Cc1ccccc1O,training,Train,3.876021324
COC(=O)c1ccccc1,384.03,472.3,88.27,1.95374,474.908,-232.81,https://webbook.nist.gov/cgi/cbook.cgi?ID=C93583&Units=SI&Mask=4,387,7476.904621,3.873721841,COC(=O)c1ccccc1,valid,Val.,3.873721841
C=Cc1cccc(C=C)c1,305.9,472.7,166.8,4.62712,2011.921,-37.565,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108576&Units=SI&Mask=4,387,7404.22844,3.869479809,C=Cc1cccc(C=C)c1,training,Train,3.869479809
Cc1cc(C)c(C)c(C)c1,313.8,471.1,157.3,3.71768,1334.012,-111.909,https://webbook.nist.gov/cgi/cbook.cgi?ID=C527537&Units=SI&Mask=4,387,7384.684851,3.868331966,Cc1cc(C)c(C)c(C)c1,training,Train,3.868331966
CC(=O)OCCOC(C)=O,373,463,90,3.34065,990.526,-166.6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111557&Units=SI&Mask=4,387,7021.508069,3.846430399,CC(=O)OCCOC(C)=O,valid,Val.,3.846430399
CCOC(=O)c1ccco1,310.8,468,157.2,5.00078,2153.093,-37.228,https://webbook.nist.gov/cgi/cbook.cgi?ID=C614993&Units=SI&Mask=4,387,6999.640134,3.845075713,CCOC(=O)c1ccco1,training,Train,3.845075713
CCc1cc(C)cc(CC)c1,307,473.9,166.9,4.72276,2076.759,-33.731,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2050240&Units=SI&Mask=4,387,6983.446709,3.844069823,CCc1cc(C)cc(CC)c1,valid,Val.,3.844069823
CC(=O)Oc1ccccc1,311.4,469.1,157.7,5.02585,2174.699,-36.045,https://webbook.nist.gov/cgi/cbook.cgi?ID=C122792&Units=SI&Mask=4,387,6750.437613,3.829331928,CC(=O)Oc1ccccc1,training,Train,3.829331928
C=Cc1ccc(C(C)C)cc1,307.9,475.7,167.8,4.64584,2035.762,-37.095,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2055405&Units=SI&Mask=4,387,6726.636508,3.82779796,C=Cc1ccc(C(C)C)cc1,training,Train,3.82779796
CC12CCC(C1)C(C)(C)C2O,332.3,472.4,140.1,3.71725,1292.226,-123.546,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1632731&Units=SI&Mask=4,387,6490.97951,3.812310238,CC12CCC(C1)C(C)(C)C2O,training,Train,3.812310238
CC(=O)c1ccccc1,310.3,475.6,165.3,4.64896,2006.397,-43.472,https://webbook.nist.gov/cgi/cbook.cgi?ID=C98862&Units=SI&Mask=4,387,6432.751657,3.808396785,CC(=O)c1ccccc1,training,Train,3.808396785
COC(=O)CCC(C)=O,312.9,470.9,158,4.88915,2086.056,-44.271,https://webbook.nist.gov/cgi/cbook.cgi?ID=C624453&Units=SI&Mask=4,387,6346.658514,3.802545131,COC(=O)CCC(C)=O,training,Train,3.802545131
CCOC(=O)C(=O)OCC,320.6,458.9,138.3,5.98158,2537.141,-34.06,https://webbook.nist.gov/cgi/cbook.cgi?ID=C95921&Units=SI&Mask=4,387,6208.545545,3.792989871,CCOC(=O)C(=O)OCC,training,Train,3.792989871
c1ccc2c(c1)CCCC2,367,479.4,112.4,4.12671,1690.912,-70.229,https://webbook.nist.gov/cgi/cbook.cgi?ID=C119642&Units=SI&Mask=4,387,6148.180557,3.788746613,c1ccc2c(c1)CCCC2,test,Test,3.788746613
CC(C)=CC(=O)C=C(C)C,315,470.4,155.4,5.195,2259.288,-35.106,https://webbook.nist.gov/cgi/cbook.cgi?ID=C504201&Units=SI&Mask=4,387,5951.61427,3.774634776,CC(C)=CC(=O)C=C(C)C,training,Train,3.774634776
Cc1ccc(C)c(C)c1C,315.8,477.6,161.8,4.21596,1675.172,-79.655,https://webbook.nist.gov/cgi/cbook.cgi?ID=C488233&Units=SI&Mask=4,387,5827.721537,3.765498792,Cc1ccc(C)c(C)c1C,training,Train,3.765498792
CC1(C)CCC(=O)O1,311.4,480,168.6,4.80624,2156.126,-30.786,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3123975&Units=SI&Mask=4,387,5666.890621,3.75334483,CC1(C)CCC(=O)O1,training,Train,3.75334483
CCOC(=O)CC(=O)OCC,313,472.1,159.1,5.90564,2864.822,13.407,https://webbook.nist.gov/cgi/cbook.cgi?ID=C105533&Units=SI&Mask=4,387,5634.624556,3.750864984,CCOC(=O)CC(=O)OCC,training,Train,3.750864984
CCc1cc(C)c(C)cc1C,316.9,481.3,164.4,3.48581,1275.902,-118.101,https://webbook.nist.gov/cgi/cbook.cgi?ID=C17851273&Units=SI&Mask=4,387,5506.787802,3.740898342,CCc1cc(C)c(C)cc1C,training,Train,3.740898342
C=Cc1c(C)cc(C)cc1C,363.1,481.1,118,4.26105,1741.148,-72.771,https://webbook.nist.gov/cgi/cbook.cgi?ID=C769255&Units=SI&Mask=4,387,5248.482274,3.720033735,C=Cc1c(C)cc(C)cc1C,test,Test,3.720033735
CCCCCCCCO,352.1,468.5,116.4,3.74844,1196.639,-149.043,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111875&Units=SI&Mask=4,387,5243.683574,3.719636477,CCCCCCCCO,training,Train,3.719636477
CC1=CC(=O)CC(C)(C)C1,311,488.4,177.4,4.42483,1985.971,-39.054,https://webbook.nist.gov/cgi/cbook.cgi?ID=C78591&Units=SI&Mask=4,387,5213.520724,3.717131104,CC1=CC(=O)CC(C)(C)C1,valid,Val.,3.717131104
O=CC(=O)c1ccccc1,348,466.7,118.7,5.73424,2453.966,-38.162,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1074120&Units=SI&Mask=4,387,5006.721242,3.699553412,O=CC(=O)c1ccccc1,training,Train,3.699553412
C=Cc1ccc(OC)cc1,318.4,477.7,159.3,5.0808,2234.943,-37.386,https://webbook.nist.gov/cgi/cbook.cgi?ID=C637694&Units=SI&Mask=4,387,4877.513107,3.688198445,C=Cc1ccc(OC)cc1,training,Train,3.688198445
CCOCCOCCO,318.4,475.1,156.7,5.75422,2708.472,-4.207,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111900&Units=SI&Mask=4,387,4771.637211,3.678667417,CCOCCOCCO,training,Train,3.678667417
COC(=O)C=CC(=O)OC,318.9,478,159.1,5.31903,2404.877,-25.365,https://webbook.nist.gov/cgi/cbook.cgi?ID=C624486&Units=SI&Mask=4,387,4666.789884,3.669018248,COC(=O)C=CC(=O)OC,test,Test,3.669018248
Cc1cccc(O)c1C,357,492,135,4.65079,2147.312,-28.347,https://webbook.nist.gov/cgi/cbook.cgi?ID=C526750&Units=SI&Mask=4,387,4609.273693,3.663632497,Cc1cccc(O)c1C,training,Train,3.663632497
CCc1ccccc1O,359,480.7,121.7,5.32312,2469.434,-16.292,https://webbook.nist.gov/cgi/cbook.cgi?ID=C90006&Units=SI&Mask=4,387,4589.028254,3.661720732,CCc1ccccc1O,training,Train,3.661720732
CCOC(=O)CCC(C)=O,320.4,479.4,159,4.99797,2165.008,-45.466,https://webbook.nist.gov/cgi/cbook.cgi?ID=C539888&Units=SI&Mask=4,387,4559.317169,3.658899805,CCOC(=O)CCC(C)=O,training,Train,3.658899805
CCOC(=O)c1ccccc1,317,486.6,169.6,4.76503,2139.509,-37.032,https://webbook.nist.gov/cgi/cbook.cgi?ID=C93890&Units=SI&Mask=4,387,4483.200888,3.6515882,CCOC(=O)c1ccccc1,test,Test,3.6515882
CC(=O)CCC(=O)OC(C)C,321,481.4,160.4,4.6898,1971.504,-60.601,https://webbook.nist.gov/cgi/cbook.cgi?ID=C21884264&Units=SI&Mask=4,387,4463.077577,3.649634436,CC(=O)CCC(=O)OC(C)C,training,Train,3.649634436
c1ccc2ccccc2c1,353.48,452.3,98.82,4.27117,1831.571,-61.329,https://webbook.nist.gov/cgi/cbook.cgi?ID=C91203&Units=SI&Mask=4,387,4437.908082,3.647178303,c1ccc2ccccc2c1,test,Test,3.647178303
CC1(C)C2CCC1(C)C(OC=O)C2,320,487,167,5.02013,2298.985,-28.831,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7492413&Units=SI&Mask=4,387,3994.05696,3.601414254,CC1(C)C2CCC1(C)C(OC=O)C2,training,Train,3.601414254
CCc1ccc(CC)c(CC)c1,319,491,172,4.70359,2133.558,-37.469,https://webbook.nist.gov/cgi/cbook.cgi?ID=C877441&Units=SI&Mask=4,387,3976.770792,3.59953056,CCc1ccc(CC)c(CC)c1,training,Train,3.59953056
CC(=O)OCc1ccccc1,319,429,110,2.34301,791.918,-175.864,https://webbook.nist.gov/cgi/cbook.cgi?ID=C140114&Units=SI&Mask=4,387,3910.764527,3.592261667,CC(=O)OCc1ccccc1,test,Test,3.592261667
CC(C)CCC(=O)O,369.1,406.3,37.2,3.09143,926.574,-181.221,https://webbook.nist.gov/cgi/cbook.cgi?ID=C646071&Units=SI&Mask=4,387,3878.53154,3.588667327,CC(C)CCC(=O)O,valid,Val.,3.588667327
CCOC(=O)C(CC)C(=O)OCC,323.9,484.7,160.8,5.09388,2265.223,-39.6,https://webbook.nist.gov/cgi/cbook.cgi?ID=C133131&Units=SI&Mask=4,387,3744.348454,3.573376258,CCOC(=O)C(CC)C(=O)OCC,training,Train,3.573376258
CC1CCC(C(C)C)C(OC=O)C1,320.4,492,171.6,4.84383,2228.802,-31.607,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2230902&Units=SI&Mask=4,387,3736.432851,3.572457182,CC1CCC(C(C)C)C(OC=O)C1,training,Train,3.572457182
CCCCCCCCCC=O,325.1,481.7,156.6,5.33284,2378.316,-35.245,https://webbook.nist.gov/cgi/cbook.cgi?ID=C112312&Units=SI&Mask=4,387,3728.674272,3.571554446,CCCCCCCCCC=O,training,Train,3.571554446
COC(=O)C=C(C)C(=O)OC,323.9,483.7,159.8,5.36126,2445.903,-26.955,https://webbook.nist.gov/cgi/cbook.cgi?ID=C617549&Units=SI&Mask=4,387,3697.721221,3.567934166,COC(=O)C=C(C)C(=O)OC,training,Train,3.567934166
C=Cc1cc(C)c(C)cc1C,352.7,489.5,136.8,3.96579,1539.349,-101.833,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3937244&Units=SI&Mask=4,387,3695.970645,3.567728513,C=Cc1cc(C)c(C)cc1C,training,Train,3.567728513
C=CC(=O)OCC(CC)CCCC,323,489,166,4.9345,2220.034,-38.812,https://webbook.nist.gov/cgi/cbook.cgi?ID=C103117&Units=SI&Mask=4,387,3618.565515,3.55853644,C=CC(=O)OCC(CC)CCCC,training,Train,3.55853644
CCCOC(=O)C(=O)OCCC,326.6,486.7,160.1,5.1117,2266.717,-42.632,https://webbook.nist.gov/cgi/cbook.cgi?ID=C615985&Units=SI&Mask=4,387,3384.136518,3.529447874,CCCOC(=O)C(=O)OCCC,valid,Val.,3.529447874
C=CCc1ccc(OC)cc1,325.8,488,162.2,5.03793,2246.739,-41.799,https://webbook.nist.gov/cgi/cbook.cgi?ID=C140670&Units=SI&Mask=4,387,3384.035804,3.529434949,C=CCc1ccc(OC)cc1,training,Train,3.529434949
CC1=CCC(C(C)(C)O)CC1,357,490.1,133.1,4.42892,1844.962,-74.617,https://webbook.nist.gov/cgi/cbook.cgi?ID=C98555&Units=SI&Mask=4,387,3332.961984,3.52283036,CC1=CCC(C(C)(C)O)CC1,valid,Val.,3.52283036
COC(=O)c1ccccc1O,352,493.7,141.7,4.02455,1585.874,-99.173,https://webbook.nist.gov/cgi/cbook.cgi?ID=C119368&Units=SI&Mask=4,387,3271.397665,3.514733339,COC(=O)c1ccccc1O,training,Train,3.514733339
Cc1cc(C)c(O)c(C)c1,367,493.8,126.8,4.51555,1917.363,-68.384,https://webbook.nist.gov/cgi/cbook.cgi?ID=C527606&Units=SI&Mask=4,387,3146.036082,3.497763699,Cc1cc(C)c(O)c(C)c1,training,Train,3.497763699
CC1CCC(C(C)C)C(O)C1,329,485,156,5.38347,2405.946,-37.853,https://webbook.nist.gov/cgi/cbook.cgi?ID=C89781&Units=SI&Mask=4,387,3108.453688,3.492544401,CC1CCC(C(C)C)C(O)C1,training,Train,3.492544401
CCc1cccc(O)c1,370.3,491.4,121.1,2.78216,849.051,-189.088,https://webbook.nist.gov/cgi/cbook.cgi?ID=C620177&Units=SI&Mask=4,387,3105.395723,3.492116951,CCc1cccc(O)c1,training,Train,3.492116951
CCOC(=O)C=CC(=O)OCC,326.4,491.7,165.3,5.11513,2350.619,-32.09,https://webbook.nist.gov/cgi/cbook.cgi?ID=C623916&Units=SI&Mask=4,387,3104.480398,3.491988922,CCOC(=O)C=CC(=O)OCC,test,Test,3.491988922
C=C(CC(=O)OCC)C(=O)OCC,324.4,501.1,176.7,4.57115,2095.257,-42.961,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2409521&Units=SI&Mask=4,387,3026.753711,3.480977084,C=C(CC(=O)OCC)C(=O)OCC,valid,Val.,3.480977084
CCCCCC(=O)O,371.3,452.3,81,4.34853,1512.718,-129.255,https://webbook.nist.gov/cgi/cbook.cgi?ID=C142621&Units=SI&Mask=4,387,3016.345838,3.479481134,CCCCCC(=O)O,training,Train,3.479481134
C=CC(C)(CCC=C(C)C)OC(C)=O,328.6,493,164.4,4.77892,2093.912,-54.798,https://webbook.nist.gov/cgi/cbook.cgi?ID=C115957&Units=SI&Mask=4,387,2990.82623,3.475791181,C=CC(C)(CCC=C(C)C)OC(C)=O,training,Train,3.475791181
CC(C)c1ccccc1O,369.8,487.7,117.9,5.66413,2657.919,-17.436,https://webbook.nist.gov/cgi/cbook.cgi?ID=C88697&Units=SI&Mask=4,387,2965.447167,3.472090191,CC(C)c1ccccc1O,training,Train,3.472090191
CC(C)(C)c1ccccc1O,328.26,497.23,168.97,4.47765,1928.57,-65.966,https://webbook.nist.gov/cgi/cbook.cgi?ID=C88186&Units=SI&Mask=4,387,2953.112991,3.470280064,CC(C)(C)c1ccccc1O,training,Train,3.470280064
CCOC(=O)CCC(=O)OCC,327.8,489.7,161.9,5.55964,2629.815,-16.062,https://webbook.nist.gov/cgi/cbook.cgi?ID=C123251&Units=SI&Mask=4,387,2951.24371,3.470005074,CCOC(=O)CCC(=O)OCC,training,Train,3.470005074
CCCOC(=O)c1ccccc1,327.8,504,176.2,4.71837,2185.719,-39.467,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2315686&Units=SI&Mask=4,387,2686.138508,3.429128403,CCCOC(=O)c1ccccc1,training,Train,3.429128403
CC(C)(C)C(=O)c1ccccc1,330.9,493,162.1,5.23048,2391.081,-35.926,https://webbook.nist.gov/cgi/cbook.cgi?ID=C938169&Units=SI&Mask=4,387,2628.56854,3.419719306,CC(C)(C)C(=O)c1ccccc1,training,Train,3.419719306
CCCCCCCCCO,364.8,486.8,122,3.96157,1373.417,-139.182,https://webbook.nist.gov/cgi/cbook.cgi?ID=C143088&Units=SI&Mask=4,387,2627.429576,3.419531084,CCCCCCCCCO,training,Train,3.419531084
OCCc1ccccc1,331.4,492.7,161.3,5.36689,2479.574,-30.51,https://webbook.nist.gov/cgi/cbook.cgi?ID=C60128&Units=SI&Mask=4,387,2578.505761,3.411368106,OCCc1ccccc1,training,Train,3.411368106
CC(C)CCCC(C)CCO,341,466.7,125.7,7.70489,3535.48,-7.093,https://webbook.nist.gov/cgi/cbook.cgi?ID=C106218&Units=SI&Mask=4,387,2504.480761,3.3987177,CC(C)CCCC(C)CCO,training,Train,3.3987177
