SMILES,LowerTempLimit[K],UpperTempLimit[K],TemperatureRange[K],A_antione,B_antione,C_antione,URL,EvaluationTemperature[K],VaporPress[Pa],VP2_LOGPA,smiles,group,group_plot,VP_LOGPA
CC(C)(C)CC(C)(C)C,316.11,396.42,80.31,3.92962,1329.863,-56.52,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1070877&Units=SI&Mask=4,387,80460.96976,4.905585263,CC(C)(C)CC(C)(C)C,training,Train,4.905585263
CCCC(C)(C)O,268.7,394.3,125.6,4.99834,1707.886,-51.913,https://webbook.nist.gov/cgi/cbook.cgi?ID=C590363&Units=SI&Mask=4,387,79707.00554,4.901496494,CCCC(C)(C)O,training,Train,4.901496494
CCCOC(=O)CC,258.9,395.6,136.7,4.56197,1607.568,-42.738,https://webbook.nist.gov/cgi/cbook.cgi?ID=C106365&Units=SI&Mask=4,387,78048.34741,4.892363712,CCCOC(=O)CC,training,Train,4.892363712
CCCCC=C(C)C,257.1,395.7,138.6,4.54012,1620.23,-38.531,https://webbook.nist.gov/cgi/cbook.cgi?ID=C627974&Units=SI&Mask=4,387,77723.59742,4.890552894,CCCCC=C(C)C,training,Train,4.890552894
CCCC(=O)CC,348.76,406.51,57.75,4.12573,1365.798,-65.143,https://webbook.nist.gov/cgi/cbook.cgi?ID=C589388&Units=SI&Mask=4,387,76249.45988,4.882236772,CCCC(=O)CC,training,Train,4.882236772
CC(C)CCC(C)(C)C,319.29,398.2,78.91,3.97027,1330.147,-61.722,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3522949&Units=SI&Mask=4,387,76034.00935,4.881007892,CC(C)CCC(C)(C)C,training,Train,4.881007892
CC(C)C(=O)C(C)C,321.19,398.4,77.21,4.13427,1407.63,-57.416,https://webbook.nist.gov/cgi/cbook.cgi?ID=C565800&Units=SI&Mask=4,387,73002.97957,4.863340586,CC(C)C(=O)C(C)C,training,Train,4.863340586
CCCCCCCC,326.08,399.72,73.64,4.04867,1355.126,-63.633,https://webbook.nist.gov/cgi/cbook.cgi?ID=C111659&Units=SI&Mask=4,387,72109.91912,4.857995008,CCCCCCCC,training,Train,4.857995008
CC(C)C1CCCC1,320.18,400.54,80.36,4.01742,1383.34,-54.742,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3875512&Units=SI&Mask=4,387,71444.48436,4.853968706,CC(C)C1CCCC1,training,Train,4.853968706
CCCCOC(C)=O,332.89,399.24,66.35,4.26803,1440.231,-61.362,https://webbook.nist.gov/cgi/cbook.cgi?ID=C123864&Units=SI&Mask=4,387,70021.64223,4.845232292,CCCCOC(C)=O,training,Train,4.845232292
CCC1CCCC1C,322,402.17,80.17,4.04224,1395.706,-55.428,https://webbook.nist.gov/cgi/cbook.cgi?ID=C930892&Units=SI&Mask=4,387,68058.08743,4.83287974,CCC1CCCC1C,training,Train,4.83287974
CC1CCCCC1C,322.33,403.83,81.5,3.96654,1369.525,-57.11,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2207014&Units=SI&Mask=4,387,65325.15104,4.815080423,CC1CCCCC1C,valid,Val.,4.815080423
CC(=O)C=C(C)C,287,403.1,116.1,4.19353,1434.631,-60.088,https://webbook.nist.gov/cgi/cbook.cgi?ID=C141797&Units=SI&Mask=4,387,63840.78974,4.805098251,CC(=O)C=C(C)C,test,Test,4.805098251
CCC(C)(C)CC(C)C,323.8,404.79,80.99,3.99139,1378.043,-58.046,https://webbook.nist.gov/cgi/cbook.cgi?ID=C16747301&Units=SI&Mask=4,387,63419.63433,4.802223734,CCC(C)(C)CC(C)C,training,Train,4.802223734
CCCC1CCCC1,325.02,405.07,80.05,4.04412,1393.955,-58.922,https://webbook.nist.gov/cgi/cbook.cgi?ID=C2040962&Units=SI&Mask=4,387,62411.92716,4.795267593,CCCC1CCCC1,test,Test,4.795267593
CCCCC(C)=O,280.9,400.7,119.8,5.66715,2011.668,-45.364,https://webbook.nist.gov/cgi/cbook.cgi?ID=C591786&Units=SI&Mask=4,387,60091.45301,4.778812705,CCCCC(C)=O,training,Train,4.778812705
CC(C)C(C)C(C)(C)C,325.18,407.17,81.99,3.95975,1376.496,-58.063,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1186534&Units=SI&Mask=4,387,59575.85158,4.775070259,CC(C)C(C)C(C)(C)C,training,Train,4.775070259
CC1(C)CCOCO1,363.5,406.5,43,4.69235,1805.43,-21.161,https://webbook.nist.gov/cgi/cbook.cgi?ID=C766154&Units=SI&Mask=4,387,57188.70593,4.757310269,CC1(C)CCOCO1,training,Train,4.757310269
CCCOC(=O)C(C)C,266.9,407.1,140.2,4.40148,1545.216,-54.902,https://webbook.nist.gov/cgi/cbook.cgi?ID=C644495&Units=SI&Mask=4,387,56051.6477,4.748588384,CCCOC(=O)C(C)C,training,Train,4.748588384
CC(C)CC(C)O,298,406,108,7.57343,3831.194,101.679,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108112&Units=SI&Mask=4,387,54141.59016,4.733531007,CC(C)CC(C)O,training,Train,4.733531007
CC1CCCC(C)(C)C1,327.82,410.79,82.97,3.96195,1393.299,-57.599,https://webbook.nist.gov/cgi/cbook.cgi?ID=C3073663&Units=SI&Mask=4,387,53970.20873,4.732154098,CC1CCCC(C)(C)C1,training,Train,4.732154098
CCOC(=O)CC(C)C,267.1,407.5,140.4,4.65963,1711.933,-39.809,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108645&Units=SI&Mask=4,387,53557.41183,4.728819582,CCOC(=O)CC(C)C,training,Train,4.728819582
CCc1ccccc1,329.74,410.27,80.53,4.07488,1419.315,-60.539,https://webbook.nist.gov/cgi/cbook.cgi?ID=C100414&Units=SI&Mask=4,387,53370.46209,4.727300963,CCc1ccccc1,training,Train,4.727300963
Cc1ccc(C)cc1,286.43,452.38,165.95,4.14553,1474.403,-55.377,https://webbook.nist.gov/cgi/cbook.cgi?ID=C106423&Units=SI&Mask=4,387,50062.03085,4.699508463,Cc1ccc(C)cc1,training,Train,4.699508463
Cc1cccc(C)c1,332.4,413.19,80.79,4.13607,1463.218,-57.991,https://webbook.nist.gov/cgi/cbook.cgi?ID=C108383&Units=SI&Mask=4,387,48833.80171,4.688720535,Cc1cccc(C)c1,training,Train,4.688720535
CCC(=O)OCC(C)C,270.9,410,139.1,4.78284,1767.952,-39.953,https://webbook.nist.gov/cgi/cbook.cgi?ID=C540421&Units=SI&Mask=4,387,48816.59304,4.688567466,CCC(=O)OCC(C)C,training,Train,4.688567466
CCC(C)(C)C(C)(C)C,330.98,414.44,83.46,3.95674,1399.478,-59.218,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7154792&Units=SI&Mask=4,387,48663.24877,4.687201099,CCC(C)(C)C(C)(C)C,training,Train,4.687201099
CCCC(O)CC,298,411,113,6.1625,2662.265,23.469,https://webbook.nist.gov/cgi/cbook.cgi?ID=C623370&Units=SI&Mask=4,387,47488.66709,4.67658998,CCCC(O)CC,test,Test,4.67658998
CC(C)C(C)(C)C(C)C,332.16,415.72,83.56,3.99656,1425.254,-57.568,https://webbook.nist.gov/cgi/cbook.cgi?ID=C16747389&Units=SI&Mask=4,387,46790.9471,4.670161836,CC(C)C(C)(C)C(C)C,training,Train,4.670161836
CCCCOCCCC,362.29,413.21,50.92,3.93018,1302.768,-81.481,https://webbook.nist.gov/cgi/cbook.cgi?ID=C142961&Units=SI&Mask=4,387,46351.68145,4.666065493,CCCCOCCCC,training,Train,4.666065493
CC(C)C(=O)C(C)(C)C,287.9,408,120.1,5.96966,2202.715,-38.782,https://webbook.nist.gov/cgi/cbook.cgi?ID=C5857363&Units=SI&Mask=4,387,44053.64349,4.643981833,CC(C)C(=O)C(C)(C)C,training,Train,4.643981833
Cc1ccccc1C,336.61,418.52,81.91,4.12928,1478.244,-59.076,https://webbook.nist.gov/cgi/cbook.cgi?ID=C95476&Units=SI&Mask=4,387,41820.96275,4.621394026,Cc1ccccc1C,training,Train,4.621394026
CCCOC(=O)CCC,271.6,415.9,144.3,4.63824,1746.225,-39.08,https://webbook.nist.gov/cgi/cbook.cgi?ID=C105668&Units=SI&Mask=4,387,41610.05274,4.619198266,CCCOC(=O)CCC,valid,Val.,4.619198266
CCC(CC)(CC)CC,336.03,420.34,84.31,4.02803,1458.142,-56.803,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1067205&Units=SI&Mask=4,387,40931.1628,4.612054083,CCC(CC)(CC)CC,training,Train,4.612054083
C=Cc1ccccc1,303.07,417.92,114.85,4.21948,1525.059,-56.379,https://webbook.nist.gov/cgi/cbook.cgi?ID=C100425&Units=SI&Mask=4,387,40436.1104,4.606769374,C=Cc1ccccc1,valid,Val.,4.606769374
