SubsetIndex,#FeaturesInSubset,R2_Train,RMSE_Train,MAE_Train,MAPE_Train,R2_Val,RMSE_Val,MAE_Val,MAPE_val,FeaturesSubsetList,parameters
6529,3,0.979718898,0.16263739,0.108668768,3.386108766,0.907102152,0.388994935,0.249397326,8.367065015,"Temperature[K],getawayHATSIP2_3,rho_1",pureQuadratic_rationalquadratic
6525,3,0.97576754,0.177776096,0.12577156,3.938302956,0.862068499,0.473994008,0.337510314,10.10185507,"Temperature[K],getawayHATSIP2_3,getawayREn1_7",pureQuadratic_exponential
3605,3,0.992396773,0.099580335,0.06551452,1.963532357,0.850505644,0.493461778,0.3281716,10.68849608,"BertzCT,Temperature[K],getawayHATSIP2_3",none_exponential
6155,3,0.967839542,0.204802724,0.139095332,4.222759423,0.842550994,0.506420272,0.356584967,11.56616962,"Temperature[K],MoRSEu29_1,getawayHATSIP2_3",linear_exponential
