SubsetIndex,#FeaturesInSubset,R2_Train_Mean,R2_Train_STD,RMSE_Train_Mean,RMSE_Train_STD,MAE_Train_Mean,MAE_Train_STD,MAPE_Train_Mean,MAPE_Train_STD,R2_Test_Mean,R2_Test_STD,RMSE_Test_Mean,RMSE_Test_STD,MAE_Test_Mean,MAE_Test_STD,MAPE_Test_Mean,MAPE_Test_STD,FeaturesSubsetList
39,1,0.14362122,0.071361447,0.943992123,0.050960484,0.741086346,0.029786653,31.42711275,4.791650017,-0.041242295,0.083845553,1.040853292,0.077872713,0.787958211,0.038213101,36.77744292,6.967928679,getawayHATSc13_3
40,1,0.240159024,0.144829652,0.887754192,0.099523438,0.68778024,0.071210208,30.20068109,7.058220339,-0.073671017,0.098112139,1.056887084,0.084547537,0.796011739,0.051326695,37.22136964,6.56229617,getawayHATSm8_1
41,1,0.15492358,0.028864399,0.937752965,0.001355682,0.72749727,0.003578248,32.11791559,1.933516649,-0.112102862,0.151807604,1.071948528,0.032997832,0.80490761,0.010139156,36.40223021,4.954466885,getawayHTc_1
42,1,0.047651237,0.01237508,0.995804108,0.020767515,0.763679994,0.02116777,35.85537044,2.726445757,-0.013623981,0.024975965,1.02676862,0.047517341,0.790063591,0.039090155,36.95604291,5.566117526,getawayHV1_2
43,1,0.19950032,0.051766043,0.912707208,0.036664,0.72856214,0.023512146,30.1269603,3.128304136,0.124214474,0.061004063,0.954114688,0.054835379,0.754928071,0.032632036,32.20750273,5.803476587,getawayHV3_3
44,1,0.128376537,0.041242653,0.952695693,0.037806835,0.744481751,0.019879082,32.42154894,4.350435745,-0.005325855,0.037853167,1.022156155,0.038618129,0.78206079,0.023598033,36.18554329,5.677783089,getawayHV4_2
45,1,0.208810465,0.027214691,0.907662918,0.028729087,0.712246007,0.016398909,29.72556966,2.938657247,0.088530828,0.054157436,0.973068175,0.042379975,0.74652339,0.019136525,33.65288565,6.418290794,getawayHm7_3
46,1,0.085290589,0.010088578,0.975847944,0.012495705,0.750934849,0.012081661,34.75258184,2.516233566,-0.014646312,0.041816077,1.02650158,0.021260548,0.783501172,0.016337711,37.0784499,5.225730339,getawayREn1_7
47,1,0.120645735,0.018682905,0.95694277,0.026585284,0.734573334,0.022958885,34.13806715,2.678724721,-0.031988575,0.007233571,1.035897509,0.040142432,0.789363193,0.030886328,36.91113103,5.677210412,getawayRmaxP7_2
48,1,0.058003753,0.003160268,0.990373909,0.018413576,0.763307299,0.013878638,35.27717803,2.774272801,0.031936349,0.001795233,1.00322754,0.035658517,0.769184931,0.024153218,35.9749963,5.425676274,k3_2
49,1,0.247223178,0.170380507,0.882783143,0.113111082,0.663413327,0.103654993,31.49594266,6.078221169,-0.102367258,0.090753005,1.07097989,0.081428754,0.829242225,0.069420287,37.19225774,5.807748006,k_1
50,1,0.124800883,0.020986918,0.954489565,0.01448675,0.727516274,0.013108824,34.57813236,2.326585029,0.081366319,0.042184026,0.976672875,0.021514113,0.746121777,0.014519469,35.29708761,4.914150528,rho_1
51,1,0.322220095,0.035665431,0.839804099,0.022779392,0.618031078,0.015357464,28.29464621,1.997245258,0.300175409,0.056345069,0.852387968,0.042188964,0.625970971,0.019762985,29.02731663,4.208192277,rho_2
